dim,group,estimand,model,estimate,se,ci_lo,ci_hi
ethnicity,Malay,turnout,M1_lpm,0.7855236871310096,0.00609972517115656,0.7725582603346647,0.7959619780176356
ethnicity,Malay,turnout,M2_logit,0.7862891647693747,0.006201577790156143,0.773321623243518,0.7969267998269011
ethnicity,Malay,turnout,M3_probit,0.7862891141206622,,,
ethnicity,Malay,turnout,M2ml_logit_noprior,0.7862889967659583,,,
ethnicity,Malay,turnout,M4_context,0.8010293546350414,,,
ethnicity,Malay,turnout,M5_within_seat,0.789619300390586,0.004859692484364124,0.7795120044474705,0.7979742081823007
ethnicity,Chinese,turnout,M1_lpm,0.6888681714720111,0.007968266342222634,0.6713855768241604,0.7010107803958455
ethnicity,Chinese,turnout,M2_logit,0.6884321829778612,0.007848589236348116,0.6714055211841068,0.7004901523147539
ethnicity,Chinese,turnout,M3_probit,0.6884321545521247,,,
ethnicity,Chinese,turnout,M2ml_logit_noprior,0.6884318129491873,,,
ethnicity,Chinese,turnout,M4_context,0.6723473307529587,,,
ethnicity,Chinese,turnout,M5_within_seat,0.6907699601708717,0.007723231526700451,0.6735279676818312,0.7029046443056355
ethnicity,Indian,turnout,M1_lpm,0.671516242202058,0.035997387301765243,0.6000311414862766,0.7360666214684682
ethnicity,Indian,turnout,M2_logit,0.671930962401555,0.03665448018470523,0.5987831816889434,0.7366767763012159
ethnicity,Indian,turnout,M3_probit,0.6719326698948249,,,
ethnicity,Indian,turnout,M2ml_logit_noprior,0.6719341153232107,,,
ethnicity,Indian,turnout,M4_context,0.6685356687928201,,,
ethnicity,Indian,turnout,M5_within_seat,0.6484015280649126,0.02897455882663143,0.5785789558080606,0.6915688086800704
ethnicity,Other,turnout,M1_lpm,0.6237809236212055,0.057566005454950726,0.45536790554308787,0.6869320355060254
ethnicity,Other,turnout,M2_logit,0.6142063993992251,0.06186418610211444,0.4369457287538112,0.6837405622933873
ethnicity,Other,turnout,M3_probit,0.6142104653631133,,,
ethnicity,Other,turnout,M2ml_logit_noprior,0.6142141774665031,,,
ethnicity,Other,turnout,M4_context,0.5584393140416591,,,
ethnicity,Other,turnout,M5_within_seat,0.5461579577898672,0.05542895432996301,0.4110517840208972,0.6309902289397683
ethnicity,Malay,BN,M1_lpm,0.3765555177881944,0.013393339742603802,0.3503107630261493,0.404676787479393
ethnicity,Malay,BN,M2_logit,0.36668561725759774,0.013548214722041594,0.3403187407561114,0.3919487704197933
ethnicity,Malay,BN,M3_probit,0.3666882480112773,,,
ethnicity,Malay,BN,M2ml_logit_noprior,0.3666892541895076,,,
ethnicity,Malay,BN,M4_context,0.17591353312440516,,,
ethnicity,Malay,BN,M5_within_seat,0.36092087344624274,0.013563002068566402,0.33547808423650327,0.3857148515725308
ethnicity,Chinese,BN,M1_lpm,0.04637636185538278,0.010315959630522191,0.02812162009862721,0.06792197220271012
ethnicity,Chinese,BN,M2_logit,0.05662950185517453,0.007874204555462191,0.04175899542602228,0.07265902011676083
ethnicity,Chinese,BN,M3_probit,0.05663086575416275,,,
ethnicity,Chinese,BN,M2ml_logit_noprior,0.056631376571871346,,,
ethnicity,Chinese,BN,M4_context,0.17623213189142292,,,
ethnicity,Chinese,BN,M5_within_seat,0.057786425288009056,0.007406944465051725,0.04370325782876658,0.07369840114395715
ethnicity,Indian,BN,M1_lpm,0.05506889593150499,0.048430962676332796,-0.033127035160990304,0.1523662204514865
ethnicity,Indian,BN,M2_logit,0.0555098371991199,0.037426349875657086,0.00031127547333241413,0.13327999994572434
ethnicity,Indian,BN,M3_probit,0.05548574249209891,,,
ethnicity,Indian,BN,M2ml_logit_noprior,0.05547718805754124,,,
ethnicity,Indian,BN,M4_context,0.2881907378912427,,,
ethnicity,Indian,BN,M5_within_seat,0.07930593204132658,0.020217020273024175,0.043268654568124086,0.1187203342393997
ethnicity,Other,BN,M1_lpm,0.008567015521847724,0.11489695069016621,-0.22778545239688727,0.23101356523796848
ethnicity,Other,BN,M2_logit,0.10027705617127729,0.05539504510958053,0.0008647053317947464,0.228151054271207
ethnicity,Other,BN,M3_probit,0.1002532722200205,,,
ethnicity,Other,BN,M2ml_logit_noprior,0.100242785977447,,,
ethnicity,Other,BN,M4_context,0.2699174685147566,,,
ethnicity,Other,BN,M5_within_seat,0.09383853472298029,0.03248744632478221,0.048945542959233056,0.17768061454279638
ethnicity,Malay,PH,M1_lpm,0.06197165644325973,0.006152514754187996,0.05082381451084986,0.0744989343551174
ethnicity,Malay,PH,M2_logit,0.05668447031601656,0.006191495882804116,0.04618175596821971,0.0696615407404402
ethnicity,Malay,PH,M3_probit,0.056684303415079684,,,
ethnicity,Malay,PH,M2ml_logit_noprior,0.05668440227263379,,,
ethnicity,Malay,PH,M4_context,0.054047075210703156,,,
