dim,estimand,n_cells,viol_lo,viol_hi,max_abs_margin_err
ethnicity,turnout,17738,0,0,2.2737367544323206e-13
ethnicity,BN,17738,0,0,2.2737367544323206e-13
ethnicity,PH,17738,0,0,2.2737367544323206e-13
ethnicity,PN,17738,0,0,2.2737367544323206e-13
age,turnout,13273,0,0,1.1368683772161603e-13
age,BN,13273,0,0,1.1368683772161603e-13
age,PH,13273,0,0,1.1368683772161603e-13
age,PN,13273,0,0,1.1368683772161603e-13
