election,target,kappa_min,n_pure,kappa_sd,kappa_half95
GE-15,Malay BN,1.7012106928336728,953,0.616205283359052,1.3048792242969007
GE-15,Malay PN,1.3666102894543077,953,0.613523833382623,1.2050684524249475
GE-15,Malay turnout,1.4914426815777206,953,0.3456014727651185,0.6791348181137541
GE-15,Chinese PH,1.5892471692314964,162,0.4910449688499236,0.9405258083209972
GE-15,Chinese BN,0.7493376405181522,162,0.7249881796654564,1.3407074402398391
GE-15,Chinese turnout,0.9219244884493624,162,0.47817362279388836,0.9140963584607319
SE-16,Malay BN,1.1710938557506192,1013,0.4054620104266098,0.8281537707098563
SE-16,Malay PN,1.0389867890867124,775,0.836190676870893,1.7452436921810848
SE-16,Malay turnout,1.06097811641192,1013,0.32541194516121813,0.6474059279174664
SE-16,Chinese PH,0.9551426781877617,154,0.4519156576403098,0.8652217746678492
SE-16,Chinese BN,0.6593462063959191,154,0.5642629292568114,1.2443862398290249
SE-16,Chinese turnout,1.0198651215252752,154,0.4974802713136684,0.9394359446542917
