claim,kappa_entry,worst_case_at_entry,kappa_star,status
Malay BN swing >= 20pp,1.7012116928336727,-5.079920342480005,1.7012116928336727,fails_at_entry
Malay BN swing >= 10pp,1.7012116928336727,-5.079920342480005,1.7012116928336727,fails_at_entry
Malay PN fall >= 20pp,1.3666112894543077,3.369649561738512,1.3666112894543077,fails_at_entry
Malay PN fall >= 10pp,1.3666112894543077,3.369649561738512,1.3666112894543077,fails_at_entry
