election,eth,age,estimand,registered,rate,share_of_electorate
jhr_se15,Other,40-49,turnout,11384,0.4976233357278827,0.004421254177452147
jhr_se15,Other,40-49,BN,11384,0.22559825798280764,0.004421254177452147
jhr_se15,Other,40-49,PH,11384,0.07516031021206375,0.004421254177452147
jhr_se15,Other,40-49,PN,11384,0.1833990127464791,0.004421254177452147
jhr_se15,Other,50-59,turnout,6474,0.6051416593604754,0.0025143358700654606
jhr_se15,Other,50-59,BN,6474,0.3353739207140494,0.0025143358700654606
jhr_se15,Other,50-59,PH,6474,0.10882426261972634,0.0025143358700654606
jhr_se15,Other,50-59,PN,6474,0.13147929497227084,0.0025143358700654606
jhr_se15,Other,60-69,turnout,3549,0.5747124766539683,0.001378340748047933
jhr_se15,Other,60-69,BN,3549,0.337604380085676,0.001378340748047933
jhr_se15,Other,60-69,PH,3549,0.03621871780470855,0.001378340748047933
jhr_se15,Other,60-69,PN,3549,0.00563299272250518,0.001378340748047933
jhr_se15,Other,70+,turnout,1304,0.3165234083578898,0.0005064402184994379
jhr_se15,Other,70+,BN,1304,0.006416149036885978,0.0005064402184994379
jhr_se15,Other,70+,PH,1304,0.10760933554552034,0.0005064402184994379
jhr_se15,Other,70+,PN,1304,0.007634081707906576,0.0005064402184994379
ge15,Malay,18-29,turnout,418053,0.7981222239339725,0.1611887435118189
ge15,Malay,18-29,BN,418053,0.27715924133028186,0.1611887435118189
ge15,Malay,18-29,PH,418053,0.09342122516285947,0.1611887435118189
ge15,Malay,18-29,PN,418053,0.4209820675380812,0.1611887435118189
ge15,Malay,30-39,turnout,322091,0.7375737065453625,0.12418866408437508
ge15,Malay,30-39,BN,322091,0.3165195194575552,0.12418866408437508
ge15,Malay,30-39,PH,322091,0.04977757119555971,0.12418866408437508
ge15,Malay,30-39,PN,322091,0.36400852430796987,0.12418866408437508
ge15,Malay,40-49,turnout,234120,0.7850529632911735,0.09026967545021095
ge15,Malay,40-49,BN,234120,0.36435140412251915,0.09026967545021095
ge15,Malay,40-49,PH,234120,0.048266061650765135,0.09026967545021095
ge15,Malay,40-49,PN,234120,0.365992734618999,0.09026967545021095
ge15,Malay,50-59,turnout,187795,0.8432431298367598,0.07240813984782318
ge15,Malay,50-59,BN,187795,0.4363399677252654,0.07240813984782318
ge15,Malay,50-59,PH,187795,0.06748725514456701,0.07240813984782318
ge15,Malay,50-59,PN,187795,0.32512496872552127,0.07240813984782318
ge15,Malay,60-69,turnout,132538,0.8460647505679938,0.05110269197343267
ge15,Malay,60-69,BN,132538,0.5781379614886105,0.05110269197343267
ge15,Malay,60-69,PH,132538,0.04445514072882142,0.05110269197343267
ge15,Malay,60-69,PN,132538,0.20901297120520346,0.05110269197343267
ge15,Malay,70+,turnout,84876,0.6390882463929077,0.032725649126568016
ge15,Malay,70+,BN,84876,0.5007598601685065,0.032725649126568016
ge15,Malay,70+,PH,84876,0.025706576995142543,0.032725649126568016
ge15,Malay,70+,PN,84876,0.08995780343017222,0.032725649126568016
ge15,Chinese,18-29,turnout,219348,0.6596711952295968,0.08457403370345494
ge15,Chinese,18-29,BN,219348,0.019247028398653856,0.08457403370345494
ge15,Chinese,18-29,PH,219348,0.6369795554867494,0.08457403370345494
ge15,Chinese,18-29,PN,219348,0.00047641380843496244,0.08457403370345494
ge15,Chinese,30-39,turnout,174553,0.6418113923973954,0.06730242037784329
ge15,Chinese,30-39,BN,174553,0.023819889793387488,0.06730242037784329
ge15,Chinese,30-39,PH,174553,0.6119513379962188,0.06730242037784329
ge15,Chinese,30-39,PN,174553,0.0020729758235994364,0.06730242037784329
ge15,Chinese,40-49,turnout,176944,0.7153814582569226,0.06822431852409928
ge15,Chinese,40-49,BN,176944,0.043035581521128276,0.06822431852409928
ge15,Chinese,40-49,PH,176944,0.6588591092094802,0.06822431852409928
ge15,Chinese,40-49,PN,176944,0.003735936940252464,0.06822431852409928
ge15,Chinese,50-59,turnout,160446,0.76302905760465,0.061863182757921346
ge15,Chinese,50-59,BN,160446,0.06109977866823379,0.061863182757921346
ge15,Chinese,50-59,PH,160446,0.6910813349566102,0.061863182757921346
ge15,Chinese,50-59,PN,160446,0.003692869373616145,0.061863182757921346
ge15,Chinese,60-69,turnout,126660,0.7796090756222618,0.0488363108342889
ge15,Chinese,60-69,BN,126660,0.06727385505420605,0.0488363108342889
ge15,Chinese,60-69,PH,126660,0.6838043114183598,0.0488363108342889
ge15,Chinese,60-69,PN,126660,0.017203359264264848,0.0488363108342889
ge15,Chinese,70+,turnout,101231,0.5638558797484237,0.03903164836622375
ge15,Chinese,70+,BN,101231,0.09513488087769813,0.03903164836622375
ge15,Chinese,70+,PH,101231,0.43970181499064326,0.03903164836622375
ge15,Chinese,70+,PN,101231,0.01104655045716636,0.03903164836622375
ge15,Indian,18-29,turnout,49587,0.6939347644199628,0.019119265319279044
ge15,Indian,18-29,BN,49587,0.011472317940309102,0.019119265319279044
ge15,Indian,18-29,PH,49587,0.6769517666614774,0.019119265319279044
ge15,Indian,18-29,PN,49587,0.0006656690438790824,0.019119265319279044
ge15,Indian,30-39,turnout,39980,0.6367718697038972,0.015415093219286835
ge15,Indian,30-39,BN,39980,0.04288251532541163,0.015415093219286835
ge15,Indian,30-39,PH,39980,0.5896161434785155,0.015415093219286835
ge15,Indian,30-39,PN,39980,0.0016403836500422481,0.015415093219286835
ge15,Indian,40-49,turnout,36931,0.7645879951244134,0.014239489937005554
ge15,Indian,40-49,BN,36931,0.0639728884599869,0.014239489937005554
ge15,Indian,40-49,PH,36931,0.6846124278338876,0.014239489937005554
ge15,Indian,40-49,PN,36931,0.01367955937959349,0.014239489937005554
ge15,Indian,50-59,turnout,27969,0.7746892203204171,0.010784010561536606
ge15,Indian,50-59,BN,27969,0.09151702043951634,0.010784010561536606
ge15,Indian,50-59,PH,27969,0.6615633756882585,0.010784010561536606
ge15,Indian,50-59,PN,27969,0.010526564101753814,0.010784010561536606
ge15,Indian,60-69,turnout,20690,0.7493123874504323,0.007977445690521376
ge15,Indian,60-69,BN,20690,0.15574825064019496,0.007977445690521376
ge15,Indian,60-69,PH,20690,0.554550402106019,0.007977445690521376
ge15,Indian,60-69,PN,20690,0.009744955252268924,0.007977445690521376
ge15,Indian,70+,turnout,11753,0.2568348606237189,0.0045316055679409245
ge15,Indian,70+,BN,11753,0.10147859573861527,0.0045316055679409245
ge15,Indian,70+,PH,11753,0.12958604650843208,0.0045316055679409245
ge15,Indian,70+,PN,11753,0.004192687884518735,0.0045316055679409245
ge15,Other,18-29,turnout,25718,0.6177472117428061,0.009916092231456198
ge15,Other,18-29,BN,25718,0.23430083688176706,0.009916092231456198
ge15,Other,18-29,PH,25718,0.10162766365617605,0.009916092231456198
ge15,Other,18-29,PN,25718,0.2772261004532826,0.009916092231456198
ge15,Other,30-39,turnout,19650,0.6542882598103485,0.0075764527703598376
ge15,Other,30-39,BN,19650,0.18510233917106889,0.0075764527703598376
ge15,Other,30-39,PH,19650,0.11337891600493871,0.0075764527703598376
ge15,Other,30-39,PN,19650,0.347492409335366,0.0075764527703598376
ge15,Other,40-49,turnout,11446,0.5555323914551945,0.004413235542470162
ge15,Other,40-49,BN,11446,0.1683640641958071,0.004413235542470162
ge15,Other,40-49,PH,11446,0.125488367690343,0.004413235542470162
ge15,Other,40-49,PN,11446,0.24297272141453943,0.004413235542470162
ge15,Other,50-59,turnout,6439,0.7536239712091772,0.0024826859739616788
ge15,Other,50-59,BN,6439,0.36794615145899967,0.0024826859739616788
ge15,Other,50-59,PH,6439,0.24870893106247177,0.0024826859739616788
ge15,Other,50-59,PN,6439,0.09098257416835343,0.0024826859739616788
ge15,Other,60-69,turnout,3499,0.6467833965561505,0.001349109834274253
ge15,Other,60-69,BN,3499,0.3091849056254637,0.001349109834274253
ge15,Other,60-69,PH,3499,0.2746147463815046,0.001349109834274253
ge15,Other,60-69,PN,3499,0.005879478433406821,0.001349109834274253
ge15,Other,70+,turnout,1245,0.36832366185194704,0.00048003479384722635
ge15,Other,70+,BN,1245,0.006796430357309947,0.00048003479384722635
ge15,Other,70+,PH,1245,0.29984577417358305,0.00048003479384722635
ge15,Other,70+,PN,1245,0.009790403907097877,0.00048003479384722635
jhr_se16,Malay,18-29,turnout,401380,0.7462474853394266,0.14848465230700936
jhr_se16,Malay,18-29,BN,401380,0.6475777623551248,0.14848465230700936
jhr_se16,Malay,18-29,PH,401380,0.031981037042878566,0.14848465230700936
jhr_se16,Malay,18-29,PN,401380,0.05697643594356753,0.14848465230700936
jhr_se16,Malay,30-39,turnout,338130,0.7310891116242663,0.1250862411793539
jhr_se16,Malay,30-39,BN,338130,0.6263219121526133,0.1250862411793539
jhr_se16,Malay,30-39,PH,338130,0.033221063869251534,0.1250862411793539
jhr_se16,Malay,30-39,PN,338130,0.06472215483822957,0.1250862411793539
jhr_se16,Malay,40-49,turnout,271767,0.7395427636945234,0.10053622129532865
jhr_se16,Malay,40-49,BN,271767,0.6212149555945347,0.10053622129532865
jhr_se16,Malay,40-49,PH,271767,0.030806388265240865,0.10053622129532865
jhr_se16,Malay,40-49,PN,271767,0.08158656688592511,0.10053622129532865
jhr_se16,Malay,50-59,turnout,195152,0.8141430120383027,0.07219362416417731
jhr_se16,Malay,50-59,BN,195152,0.6629924481517403,0.07219362416417731
jhr_se16,Malay,50-59,PH,195152,0.04780015607574187,0.07219362416417731
jhr_se16,Malay,50-59,PN,195152,0.0905741348612912,0.07219362416417731
jhr_se16,Malay,60-69,turnout,150315,0.8348392311322119,0.05560683270598463
jhr_se16,Malay,60-69,BN,150315,0.6991292084173644,0.05560683270598463
jhr_se16,Malay,60-69,PH,150315,0.052622896330170574,0.05560683270598463
jhr_se16,Malay,60-69,PN,150315,0.0671517684716549,0.05560683270598463
jhr_se16,Malay,70+,turnout,104298,0.6868252557672219,0.03858351753031158
jhr_se16,Malay,70+,BN,104298,0.5911405768226167,0.03858351753031158
jhr_se16,Malay,70+,PH,104298,0.03190376703518769,0.03858351753031158
jhr_se16,Malay,70+,PN,104298,0.040507466203897995,0.03858351753031158
jhr_se16,Chinese,18-29,turnout,200788,0.5294738078692243,0.07427857981817677
jhr_se16,Chinese,18-29,BN,200788,0.027587871793998076,0.07427857981817677
jhr_se16,Chinese,18-29,PH,200788,0.48335872307229677,0.07427857981817677
jhr_se16,Chinese,18-29,PN,200788,1.4804788618064829e-05,0.07427857981817677
jhr_se16,Chinese,30-39,turnout,180438,0.5460185581745004,0.06675039536840938
jhr_se16,Chinese,30-39,BN,180438,0.04487185033887853,0.06675039536840938
jhr_se16,Chinese,30-39,PH,180438,0.4863785879673764,0.06675039536840938
jhr_se16,Chinese,30-39,PN,180438,1.6705585031031117e-05,0.06675039536840938
jhr_se16,Chinese,40-49,turnout,169874,0.6067129690369958,0.06284239829089866
jhr_se16,Chinese,40-49,BN,169874,0.07201591077121132,0.06284239829089866
jhr_se16,Chinese,40-49,PH,169874,0.5160443003491394,0.06284239829089866
jhr_se16,Chinese,40-49,PN,169874,2.394143697343403e-05,0.06284239829089866
jhr_se16,Chinese,50-59,turnout,165638,0.6877203434173632,0.0612753521322149
jhr_se16,Chinese,50-59,BN,165638,0.09057161112106032,0.0612753521322149
jhr_se16,Chinese,50-59,PH,165638,0.576763642180303,0.0612753521322149
jhr_se16,Chinese,50-59,PN,165638,2.7392535262218566e-05,0.0612753521322149
jhr_se16,Chinese,60-69,turnout,136732,0.7661827233096736,0.05058200079536101
jhr_se16,Chinese,60-69,BN,136732,0.09978317304949924,0.05058200079536101
jhr_se16,Chinese,60-69,PH,136732,0.6455664447899004,0.05058200079536101
jhr_se16,Chinese,60-69,PN,136732,0.00013654348519461705,0.05058200079536101
jhr_se16,Chinese,70+,turnout,127933,0.562617658250324,0.047326939617301875
jhr_se16,Chinese,70+,BN,127933,0.09859392269219004,0.047326939617301875
jhr_se16,Chinese,70+,PH,127933,0.4404930016771661,0.047326939617301875
jhr_se16,Chinese,70+,PN,127933,0.0026697349307900076,0.047326939617301875
jhr_se16,Indian,18-29,turnout,44511,0.49492601272014697,0.016466192532854883
jhr_se16,Indian,18-29,BN,44511,0.2419438120200329,0.016466192532854883
jhr_se16,Indian,18-29,PH,44511,0.15372524544510502,0.016466192532854883
jhr_se16,Indian,18-29,PN,44511,4.251829021478515e-05,0.016466192532854883
jhr_se16,Indian,30-39,turnout,41451,0.47509323107469753,0.015334190350236296
jhr_se16,Indian,30-39,BN,41451,0.22881963880299167,0.015334190350236296
jhr_se16,Indian,30-39,PH,41451,0.15688986052967255,0.015334190350236296
jhr_se16,Indian,30-39,PN,41451,4.4612417484914246e-05,0.015334190350236296
jhr_se16,Indian,40-49,turnout,38597,0.6304771552680949,0.014278394850499875
jhr_se16,Indian,40-49,BN,38597,0.34416583433225395,0.014278394850499875
jhr_se16,Indian,40-49,PH,38597,0.18365476741024653,0.014278394850499875
jhr_se16,Indian,40-49,PN,38597,7.936008313374468e-05,0.014278394850499875
jhr_se16,Indian,50-59,turnout,30053,0.6526452642395096,0.011117667187658957
jhr_se16,Indian,50-59,BN,30053,0.30528015701642564,0.011117667187658957
jhr_se16,Indian,50-59,PH,30053,0.21129167695559262,0.011117667187658957
jhr_se16,Indian,50-59,PN,30053,8.807104037443122e-05,0.011117667187658957
jhr_se16,Indian,60-69,turnout,22597,0.7316167633793652,0.008359429189749091
jhr_se16,Indian,60-69,BN,22597,0.34399842893874755,0.008359429189749091
jhr_se16,Indian,60-69,PH,22597,0.24070299879333143,0.008359429189749091
jhr_se16,Indian,60-69,PN,22597,0.00014898593235929366,0.008359429189749091
jhr_se16,Indian,70+,turnout,15887,0.29146138115638237,0.005877162965771732
jhr_se16,Indian,70+,BN,15887,0.13127893546666267,0.005877162965771732
jhr_se16,Indian,70+,PH,15887,0.07756101868553515,0.005877162965771732
jhr_se16,Indian,70+,PN,15887,0.0003061403038865227,0.005877162965771732
jhr_se16,Other,18-29,turnout,17219,0.6059510026228377,0.006369916857029234
jhr_se16,Other,18-29,BN,17219,0.4871825098541314,0.006369916857029234
jhr_se16,Other,18-29,PH,17219,0.059142448353364435,0.006369916857029234
jhr_se16,Other,18-29,PN,17219,0.00033833369942784004,0.006369916857029234
jhr_se16,Other,30-39,turnout,22018,0.7561055525543132,0.008145236619900673
jhr_se16,Other,30-39,BN,22018,0.639780120702227,0.008145236619900673
jhr_se16,Other,30-39,PH,22018,0.045510169765262794,0.008145236619900673
jhr_se16,Other,30-39,PN,22018,0.00030738169808118207,0.008145236619900673
jhr_se16,Other,40-49,turnout,14333,0.5765596419822502,0.005302283425971312
jhr_se16,Other,40-49,BN,14333,0.3807753903687785,0.005302283425971312
jhr_se16,Other,40-49,PH,14333,0.06357681810840339,0.005302283425971312
