election,dim,n_salurans,mean_electorate,mean_dm_electorate,turnout,share_18-29,share_30-39,share_40-49,share_50-59,share_60-69,share_70+,n_salurans_mixed,mean_electorate_mixed,mean_dm_electorate_mixed,turnout_mixed,share_18-29_mixed,share_30-39_mixed,share_40-49_mixed,share_50-59_mixed,share_60-69_mixed,share_70+_mixed,share_Malay,share_Chinese,share_Indian,share_Other,share_Malay_mixed,share_Chinese_mixed,share_Indian_mixed,share_Other_mixed
jhr_se15,ethnicity,736,515.7078804347826,2597.9375,0.6437911165794168,0.22184576392200464,0.23332218009753372,0.1877563817146651,0.13305634667418412,0.12080798606811553,0.10321134152349688,3902,562.6022552537161,4515.6899026140445,0.5134621008584805,0.2704664656894766,0.21352004351165277,0.177231634866536,0.15210037562509282,0.11004229995891174,0.07663918034833009,,,,,,,,
jhr_se15,age,1066,652.7129455909944,5972.498123827392,0.500445535447375,,,,,,,3572,526.0478723404256,3685.7841545352744,0.544608079751235,,,,,,,0.5012733690528204,0.3826646469059719,0.08553130820705038,0.030530675834157334,0.542175458464761,0.36654456550488734,0.06709904988869334,0.02418092614165828
ge15,ethnicity,735,514.1401360544218,2592.0734693877553,0.7857541685080168,0.23584453800414404,0.22928712625002315,0.1858356730608929,0.13466774986570273,0.11837742429735401,0.09598748852188319,3960,559.5123737373738,4614.048484848485,0.7290601619646255,0.28144185796705196,0.21195765251939708,0.1756647766430816,0.1497331054412911,0.10771148578600866,0.07349112164316962,,,,,,,,
ge15,age,1122,647.0017825311943,6118.636363636364,0.7380223600978598,,,,,,,3573,522.705289672544,3725.6356003358524,0.737047995690786,,,,,,,0.49909082894359835,0.38525710255449513,0.08483805734940822,0.03081401115249829,0.5446299205515451,0.36383622845259167,0.06710283536425388,0.024431015631609328
jhr_se16,ethnicity,754,522.446949602122,2721.823607427056,0.7648841784603668,0.23443295043472742,0.2048384844830869,0.2087986291806816,0.13506631973091324,0.10843434663958876,0.1084292695310021,4135,558.4643288996373,5056.573397823458,0.6721719172891631,0.2475041680199199,0.21710338854606473,0.17855147775251706,0.1496273681931363,0.11746714301180036,0.08974645447656165,,,,,,,,
jhr_se16,age,1103,652.9392565729828,6970.574796010879,0.6634897360703812,,,,,,,3786,523.7673005810882,4033.9783412572638,0.6937427098467309,,,,,,,0.5194559228650137,0.36974584555229717,0.08432334710743801,0.026474884475251044,0.5481307706621792,0.36062588534546186,0.0667514547527639,0.024491889239595097
