election,dim,design,thr,group,estimand,model,pred,truth_lo,truth_hi,truth_mid,truth_width,miss,inside,signed,se,n_pure,n_mixed,coverage
jhr_se15,ethnicity,A,0.95,Malay,turnout,reconciled,0.6132579845984243,0.6494317153562942,0.669169630963577,0.6593006731599356,0.019737915607282774,0.03617373075786989,False,-0.04604268856151128,0.00790958255421013,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,turnout,M2_logit,0.6213673979588337,0.6494317153562942,0.669169630963577,0.6593006731599356,0.019737915607282774,0.028064317397460514,False,-0.0379332752011019,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,turnout,M3_probit,0.6213682540570462,0.6494317153562942,0.669169630963577,0.6593006731599356,0.019737915607282774,0.02806346129924797,False,-0.03793241910288936,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,turnout,M1_lpm,0.6212687504718104,0.6494317153562942,0.669169630963577,0.6593006731599356,0.019737915607282774,0.028162964884483777,False,-0.038031922688125164,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,turnout,bivariate,0.6153429312945149,0.6494317153562942,0.669169630963577,0.6593006731599356,0.019737915607282774,0.03408878406177929,False,-0.043957741865420674,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,BN,reconciled,0.33348192411015765,0.38812461617423244,0.4078714320891692,0.3979980241317008,0.019746815914936766,0.054642692064074794,False,-0.06451610002154318,0.011552303736537156,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,BN,M2_logit,0.3354065663551959,0.38812461617423244,0.4078714320891692,0.3979980241317008,0.019746815914936766,0.05271804981903655,False,-0.06259145777650493,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,BN,M3_probit,0.3354087498053653,0.38812461617423244,0.4078714320891692,0.3979980241317008,0.019746815914936766,0.05271586636886716,False,-0.06258927432633554,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,BN,M1_lpm,0.33865428343325865,0.38812461617423244,0.4078714320891692,0.3979980241317008,0.019746815914936766,0.04947033274097379,False,-0.05934374069844217,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,BN,bivariate,0.347196287859541,0.38812461617423244,0.4078714320891692,0.3979980241317008,0.019746815914936766,0.04092832831469145,False,-0.050801736272159836,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PH,reconciled,0.030230613315253042,0.009784404880928717,0.023505712514129237,0.016645058697528976,0.01372130763320052,0.006724900801123805,False,0.013585554617724066,0.005119534796724587,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PH,M2_logit,0.028268094121316267,0.009784404880928717,0.023505712514129237,0.016645058697528976,0.01372130763320052,0.004762381607187029,False,0.01162303542378729,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PH,M3_probit,0.02832555919369673,0.009784404880928717,0.023505712514129237,0.016645058697528976,0.01372130763320052,0.004819846679567492,False,0.011680500496167753,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PH,M1_lpm,0.03076037089227338,0.009784404880928717,0.023505712514129237,0.016645058697528976,0.01372130763320052,0.007254658378144142,False,0.014115312194744403,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PH,bivariate,0.010289416426667863,0.009784404880928717,0.023505712514129237,0.016645058697528976,0.01372130763320052,0.0,True,-0.006355642270861113,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PN,reconciled,0.22194039593258086,0.1932286459368612,0.212975461851798,0.20310205389432961,0.019746815914936794,0.00896493408078286,False,0.018838342038251243,0.008125667621512346,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PN,M2_logit,0.2222622289367417,0.1932286459368612,0.212975461851798,0.20310205389432961,0.019746815914936794,0.009286767084943692,False,0.019160175042412075,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PN,M3_probit,0.22227073821760024,0.1932286459368612,0.212975461851798,0.20310205389432961,0.019746815914936794,0.00929527636580224,False,0.019168684323270624,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PN,M1_lpm,0.2246560930464993,0.1932286459368612,0.212975461851798,0.20310205389432961,0.019746815914936794,0.011680631194701308,False,0.02155403915216969,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Malay,PN,bivariate,0.23044276546019704,0.1932286459368612,0.212975461851798,0.20310205389432961,0.019746815914936794,0.017467303608399043,False,0.027340711565867426,,656,3902,0.24647454248573913
jhr_se15,ethnicity,A,0.95,Chinese,turnout,reconciled,0.44073397565427025,0.5032338827456708,0.5376888915382552,0.520461387141963,0.03445500879258434,0.062499907091400575,False,-0.07972741148769275,0.009002715604765461,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,turnout,M2_logit,0.43678882725329843,0.5032338827456708,0.5376888915382552,0.520461387141963,0.03445500879258434,0.0664450554923724,False,-0.08367255988866457,,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,turnout,M3_probit,0.4367890610326547,0.5032338827456708,0.5376888915382552,0.520461387141963,0.03445500879258434,0.06644482171301613,False,-0.0836723261093083,,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,turnout,M1_lpm,0.4369052277952207,0.5032338827456708,0.5376888915382552,0.520461387141963,0.03445500879258434,0.06632865495045015,False,-0.08355615934674232,,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,turnout,bivariate,0.41532213076028335,0.5032338827456708,0.5376888915382552,0.520461387141963,0.03445500879258434,0.08791175198538748,False,-0.10513925638167965,,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,BN,reconciled,0.05835182344061391,0.055914875860630084,0.08908825370331734,0.07250156478197371,0.03317337784268726,0.0,True,-0.014149741341359802,0.008350038210816616,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,BN,M2_logit,0.05639085084320146,0.055914875860630084,0.08908825370331734,0.07250156478197371,0.03317337784268726,0.0,True,-0.016110713938772253,,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,BN,M3_probit,0.05638978211644737,0.055914875860630084,0.08908825370331734,0.07250156478197371,0.03317337784268726,0.0,True,-0.01611178266552634,,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,BN,M1_lpm,0.04959920629508712,0.055914875860630084,0.08908825370331734,0.07250156478197371,0.03317337784268726,0.006315669565542963,False,-0.02290235848688659,,76,3902,0.03513164287629004
jhr_se15,ethnicity,A,0.95,Chinese,BN,bivariate,0.03532382795172556,0.055914875860630084,0.08908825370331734,0.07250156478197371,0.03317337784268726,0.020591047908904522,False,-0.03717773683024815,,76,3902,0.03513164287629004
