election,dim,group,estimand,joint,separate,shift
jhr_se15,ethnicity,Malay,turnout,0.6311749427340516,0.62741050658994,0.37644361441115937
jhr_se15,ethnicity,Chinese,turnout,0.4283573180367657,0.4453909423900344,-1.7033624353268717
jhr_se15,ethnicity,Indian,turnout,0.35325081664470864,0.3401856528783376,1.3065163766371068
jhr_se15,ethnicity,Other,turnout,0.5059525478585195,0.3755631420378559,13.03894058206636
jhr_se15,ethnicity,Malay,BN,0.36044217960450875,0.3593590325895575,0.1083147014951269
jhr_se15,ethnicity,Chinese,BN,0.04460649026321952,0.0559301308803097,-1.132364061709018
jhr_se15,ethnicity,Indian,BN,0.1191885686134818,0.1114586675793346,0.7729901034147196
jhr_se15,ethnicity,Other,BN,0.27194027742603494,0.1534897198948967,11.845055753113822
jhr_se15,ethnicity,Malay,PH,0.025581564015511395,0.0247290748664971,0.08524891490142954
jhr_se15,ethnicity,Chinese,PH,0.3131057163278876,0.3170208911637606,-0.3915174835873003
jhr_se15,ethnicity,Indian,PH,0.12987533735002638,0.1207380741055182,0.913726324450817
jhr_se15,ethnicity,Other,PH,0.04177126704995847,0.0286132292297092,1.3158037820249269
jhr_se15,ethnicity,Malay,PN,0.21961530395081713,0.2177274546406811,0.1887849310136025
jhr_se15,ethnicity,Chinese,PN,0.008997913948750146,0.0105650372464381,-0.15671232976879543
jhr_se15,ethnicity,Indian,PN,0.02359395242764044,0.0217984614340101,0.17954909936303382
jhr_se15,ethnicity,Other,PN,0.13019580721243051,0.1514668188623608,-2.1271011649930283
jhr_se15,age,18-29,turnout,0.5158879010658937,0.5144746650684232,0.14132359974704523
jhr_se15,age,30-39,turnout,0.46101164342389517,0.4654411109677245,-0.4429467543829335
jhr_se15,age,40-49,turnout,0.5227242555072158,0.5202175214260691,0.25067340811466554
jhr_se15,age,50-59,turnout,0.625222890180489,0.6233960496901847,0.1826840490304349
jhr_se15,age,60-69,turnout,0.6524921296694736,0.6534321226138136,-0.09399929443399957
jhr_se15,age,70+,turnout,0.4646117559765108,0.4649762152087573,-0.0364459232246539
jhr_se15,age,18-29,BN,0.21408262866702904,0.212933748080476,0.11488805865530471
jhr_se15,age,30-39,BN,0.19501831530185684,0.1991329740836317,-0.41146587817748603
jhr_se15,age,40-49,BN,0.20283974602876453,0.2002423376316395,0.2597408397125023
jhr_se15,age,50-59,BN,0.24667015328237443,0.2467655069838533,-0.009535370147886746
jhr_se15,age,60-69,BN,0.29101967732573464,0.2896403326734889,0.1379344652245762
jhr_se15,age,70+,BN,0.24160625819680742,0.2418053564986831,-0.0199098301875672
jhr_se15,age,18-29,PH,0.11445886967693378,0.1151762615629913,-0.07173918860575168
jhr_se15,age,30-39,PH,0.09992512013870775,0.0970553954765947,0.2869724662113049
jhr_se15,age,40-49,PH,0.1401873347843767,0.1418324216866714,-0.16450869022947012
jhr_se15,age,50-59,PH,0.19162173439940175,0.1913181111357366,0.030362326366514814
jhr_se15,age,60-69,PH,0.2121958482128323,0.2135378170943118,-0.13419688814794994
jhr_se15,age,70+,PH,0.13702710237912055,0.1374447487049928,-0.04176463258722396
jhr_se15,age,18-29,PN,0.1430227000696634,0.141985620925582,0.1037079144081382
jhr_se15,age,30-39,PN,0.13434569054545675,0.1377035918522205,-0.335790130676375
jhr_se15,age,40-49,PN,0.13610679634577452,0.1347097062961555,0.13970900496190208
jhr_se15,age,50-59,PN,0.13018975041504954,0.1283181797066242,0.18715707084253352
jhr_se15,age,60-69,PN,0.09676134875015556,0.0970049131397,-0.024356438954444004
jhr_se15,age,70+,PN,0.046494695880843304,0.04709403668224,-0.05993408013966958
ge15,ethnicity,Malay,turnout,0.7827305572796427,0.7776321420493914,0.5098415230251341
ge15,ethnicity,Chinese,turnout,0.6897127534875978,0.6957484439425052,-0.6035690454907483
ge15,ethnicity,Indian,turnout,0.6863967576822855,0.686616443432559,-0.0219685750273535
ge15,ethnicity,Other,turnout,0.6276284786629193,0.6453165979537617,-1.7688119290842463
ge15,ethnicity,Malay,BN,0.3654928359315635,0.3642503481084921,0.12424878230714032
ge15,ethnicity,Chinese,BN,0.04581949936557092,0.0576135519351726,-1.1794052569601678
ge15,ethnicity,Indian,BN,0.06217244835624766,0.0562542803495697,0.5918168006677959
ge15,ethnicity,Other,BN,0.22132755527809822,0.0964323430638509,12.489521221424733
ge15,ethnicity,Malay,PH,0.0631658738021442,0.0626632022308471,0.05026715712970892
ge15,ethnicity,Chinese,PH,0.6308736444638653,0.626453816466359,0.4419827997506287
ge15,ethnicity,Indian,PH,0.6095137816107168,0.6231482120463793,-1.3634430435662481
ge15,ethnicity,Other,PH,0.1354988838262938,0.170565576857562,-3.5066693031268192
ge15,ethnicity,Malay,PN,0.34456431413715216,0.3412714518093016,0.32928623278505875
ge15,ethnicity,Chinese,PN,0.00523063729741153,0.0026618876609301,0.256874963648143
ge15,ethnicity,Indian,PN,0.006147922170528241,0.0003502881959723,0.5797633974555941
ge15,ethnicity,Other,PN,0.25526994730916275,0.3742450322980842,-11.897508498892146
ge15,age,18-29,turnout,0.7417537012013155,0.7408669152950814,0.08867859062340333
ge15,age,30-39,turnout,0.6973377514463738,0.6992538770058526,-0.1916125559478843
ge15,age,40-49,turnout,0.7508574104533081,0.7503515295936641,0.05058808596439812
ge15,age,50-59,turnout,0.8030902244560617,0.8021136898526117,0.0976534603450041
ge15,age,60-69,turnout,0.8068379418604095,0.8051444038183657,0.16935380420437518
ge15,age,70+,turnout,0.5765806566363143,0.5798560433380416,-0.3275386701727334
ge15,age,18-29,BN,0.1777502592284443,0.1767509660307662,0.09992931976781083
ge15,age,30-39,BN,0.2003646147260703,0.2035345876930999,-0.31699729670295884
ge15,age,40-49,BN,0.21157562449224096,0.2092357349040348,0.2339889588206162
ge15,age,50-59,BN,0.2526454378322875,0.2540666341144261,-0.14211962821386037
ge15,age,60-69,BN,0.3156475946725585,0.3139227945702904,0.17248001022681092
ge15,age,70+,BN,0.2678698802606826,0.2677133624343865,0.015651782629610977
ge15,age,18-29,PH,0.30160666879087394,0.3030563876967491,-0.14497189058751414
ge15,age,30-39,PH,0.2672272993182696,0.2614813419096756,0.5745957408594016
ge15,age,40-49,PH,0.3364980008370092,0.3407358700235541,-0.4237869186544896
ge15,age,50-59,PH,0.375434687690438,0.3744505805990093,0.09841070914286543
ge15,age,60-69,PH,0.3702963591954762,0.3698008286600741,0.04955305354021333
ge15,age,70+,PH,0.24404037395252376,0.2477220845992007,-0.3681710646676939
ge15,age,18-29,PN,0.2571327112145631,0.2557987880403279,0.13339231742351965
ge15,age,30-39,PN,0.2238097091246107,0.2284250746345924,-0.4615365509981706
ge15,age,40-49,PN,0.1950925934596927,0.1923501035573885,0.2742489902304218
ge15,age,50-59,PN,0.16341243251063103,0.1623199967383022,0.10924357723288425
ge15,age,60-69,PN,0.10622694083078961,0.1066150538512632,-0.03881130204735905
ge15,age,70+,PN,0.04427300965239341,0.0440285797818948,0.024442987049861503
jhr_se16,ethnicity,Malay,turnout,0.7554336506951675,0.7512981922007089,0.41354584944586215
jhr_se16,ethnicity,Chinese,turnout,0.6098931078017992,0.6228527564771064,-1.295964867530719
jhr_se16,ethnicity,Indian,turnout,0.5532688772737465,0.5384745091763625,1.4794368097383992
jhr_se16,ethnicity,Other,turnout,0.6566930141492585,0.6002151149107129,5.647789923854562
jhr_se16,ethnicity,Malay,BN,0.6410886232796407,0.6371239467920017,0.3964676487638985
jhr_se16,ethnicity,Chinese,BN,0.06840064785987293,0.0772560919741506,-0.8855444114277675
jhr_se16,ethnicity,Indian,BN,0.2722546198671691,0.2613891407388528,1.0865479128316313
jhr_se16,ethnicity,Other,BN,0.4769600582070167,0.4651299136425771,1.1830144564439593
jhr_se16,ethnicity,Malay,PH,0.036280649364398225,0.0355134901706821,0.07671591937161229
jhr_se16,ethnicity,Chinese,PH,0.5223475767828771,0.52533630305786,-0.29887262749829224
jhr_se16,ethnicity,Indian,PH,0.17325866616445834,0.1712635851665713,0.19950809978870332
jhr_se16,ethnicity,Other,PH,0.07863520111486452,0.0575355919039241,2.1099609210940424
jhr_se16,ethnicity,Malay,PN,0.06770560322822244,0.0679764182355904,-0.027081500736796105
jhr_se16,ethnicity,Chinese,PN,0.0003819106741954631,2.1169019012376292e-05,0.03607416551830868
jhr_se16,ethnicity,Indian,PN,9.157055122514994e-05,1.8244620077372668e-05,0.007332593114777727
jhr_se16,ethnicity,Other,PN,0.0005290217891099222,0.0001227141129016,0.040630767620832224
jhr_se16,age,18-29,turnout,0.6601982904999473,0.6599982590690874,0.020003143085989272
jhr_se16,age,30-39,turnout,0.6564302260695141,0.6561017018540101,0.032852421550400024
jhr_se16,age,40-49,turnout,0.6806837304928401,0.6834428597879277,-0.27591292950875923
jhr_se16,age,50-59,turnout,0.7501165120752468,0.7457479013599004,0.43686107153463327
jhr_se16,age,60-69,turnout,0.7906543814674385,0.7925962187694512,-0.19418373020126944
jhr_se16,age,70+,turnout,0.5967348987211959,0.5971015466997839,-0.036664797858798615
jhr_se16,age,18-29,BN,0.4287134959133409,0.427917343181206,0.07961527321349027
jhr_se16,age,30-39,BN,0.41826601510428746,0.4193999035890139,-0.1133888484726453
jhr_se16,age,40-49,BN,0.403988058420907,0.4083956363127197,-0.4407577891812675
jhr_se16,age,50-59,BN,0.39403598955016395,0.3854589664192895,0.8577023130874439
jhr_se16,age,60-69,BN,0.4053342584246141,0.4101966933174402,-0.4862434892826062
jhr_se16,age,70+,BN,0.30551492827313187,0.3038426337267044,0.16722945464274774
jhr_se16,age,18-29,PH,0.17736160999839523,0.1777538624914117,-0.03922524930164706
jhr_se16,age,30-39,PH,0.18297720335386666,0.1819801223709499,0.09970809829167593
jhr_se16,age,40-49,PH,0.2103528892492088,0.2070059370495555,0.3346952199653308
jhr_se16,age,50-59,PH,0.2833806534061374,0.2896070390971092,-0.6226385690971836
jhr_se16,age,60-69,PH,0.32403193790776935,0.3203797316920905,0.3652206215678855
jhr_se16,age,70+,PH,0.24563758496087962,0.2481950642689087,-0.2557479308029076
jhr_se16,age,18-29,PN,0.034462963862690314,0.0345370189726673,-0.007405510997698234
jhr_se16,age,30-39,PN,0.03761983120892299,0.0373465111798011,0.027332002912188597
jhr_se16,age,40-49,PN,0.04485921661125536,0.0463018355642684,-0.14426189530130432
jhr_se16,age,50-59,PN,0.04437202723913888,0.0426604531506617,0.17115740884771774
jhr_se16,age,60-69,PN,0.032232572234793415,0.0328315104706607,-0.05989382358672843
jhr_se16,age,70+,PN,0.018299168924466046,0.0178624937430445,0.04366751814215454
