election,label,dim,group,estimand,registered,reconciled,error,lo,hi,se_sampling,rmse_ident,total_se,bound_lo,bound_hi,bound_width,model_min,model_max,model_range,capped,m2_raw,cite
jhr_se15,SE-15 (Mar 2022),ethnicity,Malay,turnout,1367553,0.62741050658994,0.06302795587489045,0.5643825507150496,0.6904384624648304,0.0070054275148555,0.031384779339258505,0.03215712034433186,0.3769930671791148,0.7924979872809317,0.4155049201018169,0.509968986722235,0.6375075098196048,0.1275385230973698,0.6375070399023174,0.6375070399023174,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Chinese,turnout,955008,0.4453909423900344,0.054097980031104005,0.3912929623589304,0.4994889224211384,0.0088371254370264,0.026148058803133013,0.027601010219951025,0.1813293710628602,0.7652700291515883,0.5839406580887281,0.4384637218804311,0.5639103874292476,0.1254466655488165,0.4384637218804311,0.4384637218804311,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Indian,turnout,185594,0.3401856528783376,0.18312347593305045,0.15706217694528712,0.523309128811388,0.0477562685262166,0.08030297726623047,0.09343034486380125,0.0102212356002888,0.9939222173130596,0.9837009817127709,0.3096730839143883,0.5500493247237772,0.2403762408093889,0.3096765358543674,0.3096765358543674,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Other,turnout,66680,0.3755631420378559,0.21774692011403865,0.15781622192381725,0.5933100621518945,0.0682911843284029,0.08762702095759668,0.11109536740512176,0.0231103779244151,0.9911817636472704,0.9680713857228553,0.2497628234399569,0.5138670740497062,0.2641042506097493,0.3614272753831826,0.3614272753831826,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Malay,BN,1367553,0.3593590325895575,0.05853772209420304,0.30082131049535443,0.4121873155921562,0.0112647788163144,0.027660328075769885,0.02986618474194033,0.1597502985259072,0.4121873155921562,0.252437017066249,0.1741594827818445,0.3616552257241664,0.1874957429423219,0.3616535706264374,0.3616535706264374,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Chinese,BN,955008,0.0559301308803097,0.04464545827287293,0.01128467260743677,0.10057558915318263,0.0078439624484227,0.021385111126869475,0.02277829503718007,0.0051088577268462,0.3163020623911003,0.3111932046642541,0.0543093121617653,0.170635366496325,0.1163260543345597,0.0543096151745361,0.0543096151745361,True
jhr_se15,SE-15 (Mar 2022),ethnicity,Indian,BN,185594,0.1114586675793346,0.15915273886853712,0.0015248337769539,0.27061140644787174,0.0353793824151086,0.07308762221199665,0.08120037697374342,0.0015248337769539,0.8278662025712038,0.8263413687942499,0.1128122410539316,0.3452408685868056,0.23242862753287397,0.1128198967590979,0.1128198967590979,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Other,BN,66680,0.1534897198948967,0.18060489144682135,0.011487702459508,0.33409461134171803,0.0572067614924243,0.07223678064748934,0.09214535277899048,0.011487702459508,0.9561937612477504,0.9447060587882423,0.1268298020486778,0.4207157180474885,0.29388591599881064,0.1549484522640308,0.1549484522640308,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Malay,PH,1367553,0.0247290748664971,0.013329005616524172,0.011400069249972928,0.03805808048302127,0.003316062334913,0.005937230718232398,0.00680051306965519,0.0027260369433579,0.2006386589770195,0.19791262203366158,0.0189576674667916,0.0268353658238402,0.007877698357048601,0.022863856924504,0.022863856924504,True
jhr_se15,SE-15 (Mar 2022),ethnicity,Chinese,PH,955008,0.3170208911637606,0.04840915708408244,0.26861173407967814,0.3653613372872269,0.0230387210276216,0.008901442716235419,0.02469854953269512,0.0577366891167403,0.3653613372872269,0.3076246481704866,0.3119962000676064,0.3265151628730059,0.014518962805399493,0.3204353209931506,0.3204353209931506,True
jhr_se15,SE-15 (Mar 2022),ethnicity,Indian,PH,185594,0.1207380741055182,0.08489321739948065,0.035844856706037556,0.20563129150499887,0.0373897873278316,0.02186339787083421,0.04331286602014319,8.620968350269944e-05,0.7210308522904836,0.7209446426069809,0.1100755629119548,0.1303863959852622,0.02031083307330739,0.1176005189017669,0.1176005189017669,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Other,PH,66680,0.0286132292297092,0.03526310335447857,0.0011397720455908,0.06387633258418776,0.0151248796095954,0.00974308701397904,0.017991379262489067,0.0011397720455908,0.6843581283743251,0.6832183563287343,0.0053975149039778,0.027730543810466,0.022333028906488202,0.027730543810466,0.027730543810466,True
jhr_se15,SE-15 (Mar 2022),ethnicity,Malay,PN,1367553,0.2177274546406811,0.04397840873922905,0.17374904590145207,0.2349152098675517,0.0068954779931411,0.021352156698250278,0.022437963642463803,0.073990551006067,0.2349152098675517,0.16092465886148472,0.170556926863595,0.2175553793003295,0.046998452436734506,0.2175505353813146,0.2175505353813146,True
jhr_se15,SE-15 (Mar 2022),ethnicity,Chinese,PN,955008,0.0105650372464381,0.03353881786947125,9.42400482509047e-05,0.04410385511590935,0.0020352989987824,0.016990168982535175,0.017111641770138394,9.42400482509047e-05,0.1933763905642675,0.1932821505160166,0.0104282033978915,0.0431438412437251,0.032715637845833596,0.0104287306510364,0.0104287306510364,True
jhr_se15,SE-15 (Mar 2022),ethnicity,Indian,PN,185594,0.0217984614340101,0.09695400796111317,2.155242087567486e-05,0.11875246939512327,0.0124087098972314,0.04788467167020593,0.04946633059240468,2.155242087567486e-05,0.5851158981432589,0.5850943457223833,0.0222859810368297,0.0679293466616063,0.0456433656247766,0.0223313586891225,0.0223313586891225,False
jhr_se15,SE-15 (Mar 2022),ethnicity,Other,PN,66680,0.1514668188623608,0.16476199414202222,0.0041691661667666,0.316228813004383,0.0329180158910878,0.07734898024275506,0.084062241909195,0.0041691661667666,0.8891571685662868,0.8849880023995202,0.1575131374964693,0.2595991560918928,0.10208601859542352,0.1575131374964693,0.1575131374964693,False
jhr_se15,SE-15 (Mar 2022),age,18-29,turnout,677952,0.5144746650684232,0.03909014581540528,0.47538451925301795,0.5535648108838285,0.0090758884838129,0.017759207963169193,0.019943951946635344,0.3894759510997829,0.6327601364108374,0.2432841853110545,0.5146606359355476,0.6301143449896208,0.11545370905407326,0.5146606359355476,0.5146606359355476,True
jhr_se15,SE-15 (Mar 2022),age,30-39,turnout,557295,0.4654411109677245,0.03984649754399539,0.4255946134237291,0.5052876085117199,0.0073857263514993,0.018940793855211798,0.020329845685711934,0.2295785894364744,0.7164822939376811,0.48690370450120674,0.3436980519254981,0.4644094929642723,0.12071144103877418,0.4644094929642723,0.4644094929642723,True
jhr_se15,SE-15 (Mar 2022),age,40-49,turnout,460337,0.5202175214260691,0.02373668974084978,0.49648083168521934,0.5439542111669189,0.010846496648033,0.005386935757616941,0.012110555990229479,0.2500841774612947,0.7892457047771524,0.5391615273158576,0.515084963001033,0.5196559915915453,0.004571028590512283,0.5196559266639229,0.5196559266639229,True
jhr_se15,SE-15 (Mar 2022),age,50-59,turnout,384405,0.6233960496901847,0.01933142060782272,0.604064629082362,0.6427274702980074,0.0095947672938633,0.002284428120490558,0.009862969697868736,0.3064944524654986,0.8702722389146863,0.5637777864491877,0.6169198757910302,0.6263477604217477,0.00942788463071742,0.624598954441997,0.624598954441997,True
jhr_se15,SE-15 (Mar 2022),age,60-69,turnout,287427,0.6534321226138136,0.017060505018722128,0.6363716175950914,0.6704926276325357,0.008463489993036,0.002033435443995729,0.008704339295266391,0.2664989719128683,0.9010948867016668,0.6345959147887985,0.6542597687224414,0.6603393305069942,0.006079561784552823,0.6542597687224414,0.6542597687224414,True
jhr_se15,SE-15 (Mar 2022),age,70+,turnout,207419,0.4649762152087573,0.02704104040566273,0.4379351748030946,0.49201725561442006,0.0129550777397595,0.004744256623981483,0.013796449186562618,0.1991331555932677,0.7989817711974313,0.5998486156041636,0.441750776112558,0.4636077363333432,0.021856960220785204,0.4636077363333432,0.4636077363333432,True
jhr_se15,SE-15 (Mar 2022),age,18-29,BN,677952,0.212933748080476,0.0375159321244794,0.1754178159559966,0.2504496802049554,0.0103845965650791,0.01607885810997517,0.01914078169616296,0.1315417610686302,0.29856243509865,0.1670206740300198,0.2130491685648987,0.2757718900000582,0.0627227214351595,0.2130493432846517,0.2130493432846517,True
jhr_se15,SE-15 (Mar 2022),age,30-39,BN,557295,0.1991329740836317,0.037826006385147666,0.16130696769848404,0.23695898046877936,0.0089749661772183,0.017085102315924153,0.019298982849565136,0.0594729900680967,0.3826070573035824,0.3231340672354857,0.0698758034666181,0.199711946463199,0.12983614299658092,0.199711946463199,0.199711946463199,True
jhr_se15,SE-15 (Mar 2022),age,40-49,BN,460337,0.2002423376316395,0.02242912191388716,0.17781321571775235,0.22267145954552667,0.0107033974169399,0.0040483778915550855,0.011443429547901613,0.0461401103973827,0.4073711215913559,0.3612310111939732,0.1680225256264539,0.1993520396408502,0.03132951401439629,0.1993520396408502,0.1993520396408502,True
jhr_se15,SE-15 (Mar 2022),age,50-59,BN,384405,0.2467655069838533,0.022220042605431038,0.22454546437842227,0.26898554958928433,0.0111621045350208,0.0019822887612178596,0.011336756431342366,0.0472522469790975,0.475547924714819,0.42829567773572147,0.2456550916577198,0.2525032631720427,0.006848171514322904,0.247054425443525,0.247054425443525,True
jhr_se15,SE-15 (Mar 2022),age,60-69,BN,287427,0.2896403326734889,0.030835827725914765,0.2588045049475741,0.32047616039940363,0.0156588520160345,0.0015211706844647152,0.015732565166283043,0.0504649876316421,0.5338712090374251,0.48340622140578304,0.2914545710553701,0.2993753695171355,0.00792079846176541,0.2914545710553701,0.2914545710553701,True
jhr_se15,SE-15 (Mar 2022),age,70+,BN,207419,0.2418053564986831,0.032642470670650785,0.2091628858280323,0.27444782716933386,0.0159813334218766,0.004686514237912953,0.016654321770740197,0.0343025470183541,0.4927706719249441,0.45846812490659,0.2048310588941512,0.2383580925751987,0.03352703368104748,0.2383580925751987,0.2383580925751987,True
jhr_se15,SE-15 (Mar 2022),age,18-29,PH,677952,0.1151762615629913,0.027518973871321642,0.08765728769166965,0.14269523543431295,0.0106258878898219,0.009177163408358823,0.014040292791490635,0.0749536840366279,0.1652049112621542,0.0902512272255263,0.0620349752233231,0.1150015845534791,0.052966609330156,0.1150015845534791,0.1150015845534791,True
jhr_se15,SE-15 (Mar 2022),age,30-39,PH,557295,0.0970553954765947,0.024772169730691507,0.07228322574590319,0.1218275652072862,0.0080754804230374,0.009722522888089774,0.012638862107495668,0.0301025489193335,0.2112130918095443,0.1811105428902108,0.0966590794867285,0.1249148213661193,0.028255741879390797,0.0966596234495794,0.0966596234495794,True
jhr_se15,SE-15 (Mar 2022),age,40-49,PH,460337,0.1418324216866714,0.02454419102144686,0.11728823066522454,0.16637661270811827,0.0122099398109925,0.0027805645365137337,0.012522546439513706,0.0384500919978189,0.2770665838288036,0.2386164918309847,0.1419974295960657,0.1438754008360697,0.001877971240003995,0.14199780520144,0.14199780520144,True
jhr_se15,SE-15 (Mar 2022),age,50-59,PH,384405,0.1913181111357366,0.029892955319347384,0.16142515581638922,0.22121106645508398,0.0152023904288221,0.0012230355313607758,0.015251507815993564,0.0519061926874,0.3416500825951795,0.2897438899077795,0.1899715160510814,0.1962880107164165,0.006316494665335098,0.1914190020691467,0.1914190020691467,True
jhr_se15,SE-15 (Mar 2022),age,60-69,PH,287427,0.2135378170943118,0.03232519074531216,0.18121262634899965,0.24586300783962395,0.0164164617245794,0.0015812975818821728,0.01649244425781233,0.0594759712901014,0.3677872990359291,0.3083113277458277,0.0007128423784591,0.2152041821047761,0.214491339726317,0.2152041821047761,0.2152041821047761,True
jhr_se15,SE-15 (Mar 2022),age,70+,PH,207419,0.1374447487049928,0.023137010135521153,0.11430773856947164,0.16058175884051396,0.01131809337481,0.003353993571617443,0.011804597007918955,0.0354210559302667,0.3025470183541527,0.26712596242388603,0.1368313212054467,0.225913071923901,0.08908175071845431,0.1369539141082158,0.1369539141082158,True
jhr_se15,SE-15 (Mar 2022),age,18-29,PN,677952,0.141985620925582,0.02516664878481054,0.11681897214077147,0.16715226971039254,0.008001148758505,0.010042433875765755,0.012840126931025786,0.0822698362125932,0.2075382917964693,0.1252684555838761,0.1420497178079864,0.1812549854019783,0.0392052675939919,0.1420500990387217,0.1420500990387217,True
jhr_se15,SE-15 (Mar 2022),age,30-39,PN,557295,0.1377035918522205,0.024793160427649317,0.11291043142457119,0.16249675227986982,0.0069363510639268,0.010578218033509822,0.012649571646759856,0.0360096537740335,0.2788971729514889,0.2428875191774554,0.0538862424126872,0.1381546001737408,0.0842683577610536,0.1381546001737408,0.1381546001737408,True
jhr_se15,SE-15 (Mar 2022),age,40-49,PN,460337,0.1347097062961555,0.01652304612921345,0.11818666016694206,0.15123275242536896,0.0077453310055375,0.0033281924289273,0.008430125576129311,0.025490021440814,0.2835487914288879,0.25805876998807387,0.1031772456745802,0.1341450554065863,0.030967809732006107,0.1341450554065863,0.1341450554065863,True
jhr_se15,SE-15 (Mar 2022),age,50-59,PN,384405,0.1283181797066242,0.015200385892914399,0.11311779381370982,0.1435185655995386,0.0076489222765147,0.0012800974272554136,0.007755298924956326,0.0158166517084845,0.2770853656950351,0.2612687139865506,0.1250966899502081,0.1310972684434947,0.006000578493286612,0.1284554541249791,0.1284554541249791,True
jhr_se15,SE-15 (Mar 2022),age,60-69,PN,287427,0.0970049131397,0.012893399988283719,0.08411151315141628,0.10989831312798372,0.0064689365889534,0.0011943340266393292,0.006578265300144754,0.0091675451505947,0.2310569292376847,0.22188938408709,0.0967006556970941,0.0975702082612881,0.0008695525641939927,0.0971732445224432,0.0971732445224432,True
jhr_se15,SE-15 (Mar 2022),age,70+,PN,207419,0.04709403668224,0.009360833075598256,0.037733203606641744,0.056454869757838255,0.0038866918028398,0.0027754610917368233,0.004775935242652171,0.0003471234554211,0.1956281729253347,0.1952810494699136,0.0309273179614958,0.0460994101636379,0.015172092202142103,0.0460994101636379,0.0460994101636379,True
ge15,GE-15 (Nov 2022),ethnicity,Malay,turnout,1379473,0.7776321420493914,0.04173237725154767,0.7358997647978437,0.819364519300939,0.0057079615745887,0.020512671267813348,0.021292029209973303,0.5816786555445449,0.9178874831185532,0.3362088275740083,0.7862891141206622,0.8010293546350414,0.014740240514379277,0.7862891647693747,0.7862891647693747,True
ge15,GE-15 (Nov 2022),ethnicity,Chinese,turnout,959182,0.6957484439425052,0.04585893142590421,0.649889512516601,0.7416073753684095,0.0084437675714501,0.02182067301322734,0.023397413992808272,0.4687223071325359,0.9429232408448032,0.4742009337122673,0.6723473307529587,0.6907699601708717,0.01842262941791295,0.6884321829778612,0.6884321829778612,True
ge15,GE-15 (Nov 2022),ethnicity,Indian,turnout,186910,0.686616443432559,0.10553793522314031,0.5810785082094188,0.7921543786556993,0.0272882582298793,0.04641907289521148,0.05384588531792873,0.0393932908886629,0.9985501043282864,0.9591568134396234,0.6484015280649126,0.6719326698948249,0.02353114182991234,0.671930962401555,0.671930962401555,False
ge15,GE-15 (Nov 2022),ethnicity,Other,turnout,67997,0.6453165979537617,0.15730346289107222,0.4880131350626895,0.802620060844834,0.0444265360021526,0.06683896986008418,0.08025686882197562,0.0352221421533302,0.9919555274497404,0.9567333852964102,0.5461579577898672,0.6142104653631133,0.0680525075732461,0.6142063993992251,0.6142063993992251,False
ge15,GE-15 (Nov 2022),ethnicity,Malay,BN,1379473,0.3642503481084921,0.04948180398590697,0.31476854412258515,0.4076875734429017,0.0131601181367924,0.021544433974920035,0.02524581836015662,0.1639604399651171,0.4076875734429017,0.24372713347778457,0.1759135331244051,0.3666882480112773,0.1907747148868722,0.3666856172575977,0.3666856172575977,True
ge15,GE-15 (Nov 2022),ethnicity,Chinese,BN,959182,0.0576135519351726,0.04196684193552721,0.01564670999964539,0.09958039387069981,0.0079892793179019,0.019865305058906074,0.021411654048738373,0.0057893079728351,0.308742240784335,0.3029529328114999,0.0566295018551745,0.1762321318914229,0.1196026300362484,0.0566295018551745,0.0566295018551745,True
ge15,GE-15 (Nov 2022),ethnicity,Indian,BN,186910,0.0562542803495697,0.1147276070191738,0.0011556364025466,0.1709818873687435,0.0363460014973843,0.045883058856939274,0.05853449337712949,0.0011556364025466,0.7936600502915842,0.7925044138890376,0.0554857424920989,0.2881907378912427,0.23270499539914383,0.0555098371991199,0.0555098371991199,False
