cluster,dim,group,estimand,registered,lo,hi
N.02 Jementah,age,60-69,BN,6172,0.037265068049254696,0.4351911860012962
N.02 Jementah,age,70+,BN,4814,0.004777731616119651,0.38408807644370585
N.02 Jementah,age,18-29,PH,8195,0.06564978645515558,0.22550335570469798
N.02 Jementah,age,30-39,PH,8143,0.04212206803389414,0.3070121576814442
N.02 Jementah,age,40-49,PH,6502,0.06797908335896648,0.4263303598892648
N.02 Jementah,age,50-59,PH,6266,0.09032875837855091,0.52234280242579
N.02 Jementah,age,60-69,PH,6172,0.16542449773169152,0.49724562540505507
N.02 Jementah,age,70+,PH,4814,0.0953469048608226,0.43788948899044455
N.02 Jementah,age,18-29,PN,8195,0.058816351433801095,0.2425869432580842
N.02 Jementah,age,30-39,PN,8143,0.03119243522043473,0.27692496622866264
N.02 Jementah,age,40-49,PN,6502,0.002306982466933251,0.271762534604737
N.02 Jementah,age,50-59,PN,6266,0.0003191828917969997,0.27385892116182575
N.02 Jementah,age,60-69,PN,6172,0.004374594944912508,0.2091704471808166
N.02 Jementah,age,70+,PN,4814,0.0,0.17345243041130037
N.03 Pemanis,ethnicity,Malay,turnout,18671,0.43532751325585134,0.7794440576294789
N.03 Pemanis,ethnicity,Chinese,turnout,10008,0.20733413269384493,0.8371302957633893
N.03 Pemanis,ethnicity,Indian,turnout,730,0.0,1.0
N.03 Pemanis,ethnicity,Other,turnout,509,0.0,1.0
N.03 Pemanis,ethnicity,Malay,BN,18671,0.24321139735418565,0.45064538589256065
N.03 Pemanis,ethnicity,Chinese,BN,10008,0.0005995203836930455,0.3520183852917666
N.03 Pemanis,ethnicity,Indian,BN,730,0.0,0.9493150684931507
N.03 Pemanis,ethnicity,Other,BN,509,0.0,1.0
N.03 Pemanis,ethnicity,Malay,PH,18671,0.002195918804563226,0.17803010015532109
N.03 Pemanis,ethnicity,Chinese,PH,10008,0.09472422062350119,0.43345323741007197
N.03 Pemanis,ethnicity,Indian,PH,730,0.0,0.9945205479452055
N.03 Pemanis,ethnicity,Other,PH,509,0.0,0.7701375245579568
N.03 Pemanis,ethnicity,Malay,PN,18671,0.07717851213111242,0.1988645493010551
