dim,group,estimand,gamma
ethnicity,Malay,turnout,2.197212771373132
ethnicity,Chinese,turnout,1.1352846294607595
ethnicity,Indian,turnout,3.325218321575329
ethnicity,Other,turnout,-0.8678791242287762
ethnicity,Malay,BN,4.097135476502608
ethnicity,Chinese,BN,3.091579898136134
ethnicity,Indian,BN,3.313522923284426
ethnicity,Other,BN,0.9658452942094738
ethnicity,Malay,PH,0.3469371820568565
ethnicity,Chinese,PH,0.012222731957626826
ethnicity,Indian,PH,2.50326880408521
ethnicity,Other,PH,-4.553881276003646
ethnicity,Malay,PN,0.9002905391373521
ethnicity,Chinese,PN,3.7273671335110525
ethnicity,Indian,PN,0.6574838705105329
ethnicity,Other,PN,1.4718728493561732
age,18-29,turnout,-3.027572413877101
age,30-39,turnout,-2.9769422275903836
age,40-49,turnout,-0.3836554786597489
age,50-59,turnout,-4.567809429261006
age,60-69,turnout,4.877494357748536
age,70+,turnout,1.865343145511457
age,18-29,BN,-2.5015386007300955
age,30-39,BN,-6.928399405386916
age,40-49,BN,-10.205548298712968
age,50-59,BN,-1.1331669302494618
age,60-69,BN,8.20526801296887
age,70+,BN,11.63960319512668
age,18-29,PH,4.48483897553871
age,30-39,PH,1.252903842907824
age,40-49,PH,0.6197269818680486
age,50-59,PH,1.675754335492779
age,60-69,PH,-424.86888128753725
age,70+,PH,-8.84276754155329
age,18-29,PN,-2.0041725967314514
age,30-39,PN,-6.030529857820449
age,40-49,PN,-15.370104458334524
age,50-59,PN,-4.119454336060088
age,60-69,PN,6.66705943879469
age,70+,PN,9.696849352776393
