dim,estimand,n_cells,viol_lo,viol_hi,max_abs_margin_err
ethnicity,turnout,17537,0,0,2.2737367544323206e-13
ethnicity,BN,17537,0,0,2.2737367544323206e-13
ethnicity,PH,17537,0,0,2.2737367544323206e-13
ethnicity,PN,17537,0,0,2.2737367544323206e-13
age,turnout,13205,0,0,2.2737367544323206e-13
age,BN,13205,0,0,2.2737367544323206e-13
age,PH,13205,0,0,2.2737367544323206e-13
age,PN,13205,0,0,2.2737367544323206e-13
