dim,group,estimand,biv_valid_at1,biv_valid_at0,r2_valid,biv_reg_at1,biv_reg_at0,r2_reg,M1_lpm,M2_logit,lo,hi,reconciled,biv_minus_M1,biv_impossible
ethnicity,Malay,turnout,1.0168292783600628,1.021639430430316,0.001217308838147857,0.6323952115765917,0.41971472383651726,0.3648838989466626,0.6370437211095886,0.6375070399023174,0.3769930671791148,0.7924979872809317,0.62741050658994,-0.004648509532996892,False
ethnicity,Malay,BN,0.6093745363971335,0.1869080416427972,0.577447371557184,0.37168136473574354,0.05589666259543352,0.600053325734327,0.3678634463557998,0.3616535706264374,0.1597502985259072,0.4121873155921562,0.3593590325895575,0.003817918379943719,False
ethnicity,Malay,PH,0.002726757415376757,0.6199417827717646,0.6384761678529564,0.012297335156606914,0.2849994801666692,0.5233302842876695,0.0254934385775665,0.022863856924504,0.0027260369433579,0.2006386589770195,0.0247290748664971,-0.013196103420959584,False
ethnicity,Malay,PN,0.36647864046491896,0.07044825205788437,0.5108752699042132,0.22280894946850655,0.01431807376196761,0.6657508182392636,0.2183127164358898,0.2175505353813146,0.073990551006067,0.2349152098675517,0.2177274546406811,0.004496233032616759,False
ethnicity,Chinese,turnout,1.0209616419112524,1.0178417742595625,0.00044667781286089614,0.405983090122519,0.607367886242342,0.28995569251004893,0.4387976562748555,0.4384637218804311,0.1813293710628602,0.7652700291515883,0.4453909423900344,-0.03281456615233652,False
ethnicity,Chinese,BN,0.12480442566846223,0.5826515627972723,0.5915721888762289,0.018745253900864844,0.34440414474054526,0.5656039408932669,0.0434890657992101,0.0543096151745361,0.0051088577268462,0.3163020623911003,0.0559301308803097,-0.024743811898345257,False
ethnicity,Chinese,PH,0.7156353930735532,0.03923119155958039,0.668841452187923,0.3300106072592777,0.028230934527287022,0.5680121181751974,0.3246804972001907,0.3204353209931506,0.0577366891167403,0.3653613372872269,0.3170208911637606,0.005330110059087012,False
ethnicity,Chinese,PN,0.028793702644219876,0.3468007854073751,0.5142268538445516,-0.00998870602065044,0.20466895178273325,0.6254739834712202,0.0098521946006151,0.0104287306510364,9.42400482509047e-05,0.1933763905642675,0.0105650372464381,-0.01984090062126554,True
ethnicity,Indian,turnout,1.0371569907040459,1.017606077336206,0.0014433763363214114,0.1344134247033219,0.5636106507696845,0.11285382343357941,0.3090213940109717,0.3096765358543674,0.0102212356002888,0.9939222173130596,0.3401856528783376,-0.17460796930764977,False
ethnicity,Indian,BN,0.024053314448292118,0.4562827511165067,0.0433829284046221,-0.14966505872097646,0.25261325119913014,0.07395439119319269,0.1218806440300741,0.1128198967590979,0.0015248337769539,0.8278662025712038,0.1114586675793346,-0.27154570275105055,True
ethnicity,Indian,PH,0.8339735640205452,0.22808069767745853,0.044159658486296105,0.31647375514950976,0.1264654213981687,0.01929510375331811,0.0813962812887299,0.1176005189017669,8.620968350269944e-05,0.7210308522904836,0.1207380741055182,0.23507747386077987,False
ethnicity,Indian,PN,-0.12487914421149149,0.26494768898962107,0.06358403232275434,-0.1530025217965611,0.14665132149930082,0.10444324730062038,0.0145663436614785,0.0223313586891225,2.155242087567486e-05,0.5851158981432589,0.0217984614340101,-0.1675688654580396,True
ethnicity,Other,turnout,1.0459946438706234,1.0181871674079859,0.0010030762457510223,0.46653673427161924,0.5344324136900505,0.0008753531083681709,0.3591655570127297,0.3614272753831826,0.0231103779244151,0.9911817636472704,0.3755631420378559,0.10737117725888956,False
ethnicity,Other,BN,0.7403992214306361,0.4195386900039781,0.008212740306577815,0.36418253033989867,0.21988007474694965,0.0029495428657883016,0.1282471257783007,0.1549484522640308,0.011487702459508,0.9561937612477504,0.1534897198948967,0.23593540456159798,False
ethnicity,Other,PH,-0.3746239616050723,0.28494643136803943,0.01797718318613306,-0.24031346846426527,0.15027623973685728,0.025272019455348183,0.0127360211948516,0.027730543810466,0.0011397720455908,0.6843581283743251,0.0286132292297092,-0.2530494896591169,True
ethnicity,Other,PN,0.6079002486297893,0.2295355713271482,0.020577427890983935,0.3119638582317313,0.12008318861199095,0.013273933853702569,0.1698026252743961,0.1575131374964693,0.0041691661667666,0.8891571685662868,0.1514668188623608,0.14216123295733518,False
age,18-29,turnout,1.011994249717584,1.0212325157857065,0.006620023134078279,0.5013373607337958,0.5438739941344837,0.022484061630474783,0.5146529597266616,0.5146606359355476,0.3894759510997829,0.6327601364108374,0.5144746650684232,-0.01331559899286583,False
age,18-29,BN,0.42038602990511276,0.4302195473986157,0.0004612549804640098,0.2082213312710551,0.22911952504299193,0.0040483151136385676,0.2129523028438556,0.2130493432846517,0.1315417610686302,0.29856243509865,0.212933748080476,-0.004730971572800502,False
age,18-29,PH,0.21456130142885896,0.28621018431393197,0.012684868555101092,0.10587425726991112,0.1524154813635576,0.023481373487386215,0.1152353127286148,0.1150015845534791,0.0749536840366279,0.1652049112621542,0.1151762615629913,-0.00936105545870368,False
age,18-29,PN,0.29133758537303195,0.2215631639370678,0.04184371074250093,0.14476223074972464,0.11800788774993645,0.016887887096785348,0.1418410493703524,0.1420500990387217,0.0822698362125932,0.2075382917964693,0.141985620925582,0.002921181379372223,False
age,30-39,turnout,1.0136984976227175,1.0201757916167047,0.001963553237155913,0.4471200322220072,0.5563063144437469,0.09562059491637442,0.4644643445044881,0.4644094929642723,0.2295785894364744,0.7164822939376811,0.4654411109677245,-0.0173443122824809,False
age,30-39,BN,0.4277162845919408,0.4277383424473935,1.4003181947330745e-09,0.18871023654005162,0.23325918134332516,0.011874036938072097,0.2000973266692151,0.199711946463199,0.0594729900680967,0.3826070573035824,0.1991329740836317,-0.011387090129163474,False
age,30-39,PH,0.19144437071122505,0.28694897754043425,0.013598551588318575,0.08256303094366667,0.15607127277290633,0.03780826164712803,0.0950903519498781,0.0966596234495794,0.0301025489193335,0.2112130918095443,0.0970553954765947,-0.012527321006211428,False
age,30-39,PN,0.3264070655482651,0.21775594291154748,0.06121854818839989,0.14617773467469564,0.1192169073993406,0.011069293675980751,0.1379891240151369,0.1381546001737408,0.0360096537740335,0.2788971729514889,0.1377035918522205,0.008188610659558726,False
age,40-49,turnout,1.015091071811529,1.0197201250916044,0.0008792098461116726,0.5248910812131223,0.5343685424850695,0.0005935915892651966,0.5194152664491705,0.5196559266639229,0.2500841774612947,0.7892457047771524,0.5202175214260691,0.0054758147639518695,False
age,40-49,BN,0.3825622253748369,0.4374974905667946,0.007614744551413977,0.19824442512577894,0.22914079657246034,0.004705729134417247,0.2004298938000273,0.1993520396408502,0.0461401103973827,0.4073711215913559,0.2002423376316395,-0.0021854686742483476,False
age,40-49,PH,0.27987040827547316,0.26555584180367164,0.0002678262450656055,0.14459260995149806,0.13919647675843497,0.00016786817858249758,0.1418666440737379,0.14199780520144,0.0384500919978189,0.2770665838288036,0.1418324216866714,0.002725965877760167,False
age,40-49,PN,0.26819952010558945,0.2329315320364229,0.005654948870379095,0.1383902654778685,0.12214853849978308,0.0033098347448412557,0.1339098173133786,0.1341450554065863,0.025490021440814,0.2835487914288879,0.1347097062961555,0.00448044816448992,False
age,50-59,turnout,1.0254839067676573,1.017575296168615,0.0023694188630741797,0.6595365120458552,0.5104106805910317,0.1226065052525489,0.6250282905907436,0.624598954441997,0.3064944524654986,0.8702722389146863,0.6233960496901847,0.034508221455111565,False
age,50-59,BN,0.40086491281669223,0.4331274715842871,0.0024248438556426777,0.2598572923129888,0.21725714017267186,0.007463427623285779,0.2472203896572429,0.247054425443525,0.0472522469790975,0.475547924714819,0.2467655069838533,0.012636902655745907,False
age,50-59,PH,0.350592472317183,0.2515410425644494,0.01183999457618845,0.21991643517602633,0.12616473602724565,0.04227322753934859,0.1919631581974393,0.1914190020691467,0.0519061926874,0.3416500825951795,0.1913181111357366,0.027953276978587016,False
age,50-59,PN,0.17714429521646058,0.2516561070045204,0.023305092553136397,0.11831316756443394,0.12623495241682858,0.0006568890781909476,0.1274723336531055,0.1284554541249791,0.0158166517084845,0.2770853656950351,0.1283181797066242,-0.009159166088671566,False
age,60-69,turnout,1.0334205299910986,1.0168120816161546,0.0079668520452848,0.6749306749684247,0.51479871578916,0.1057831611393143,0.6557652723040341,0.6542597687224414,0.2664989719128683,0.9010948867016668,0.6534321226138136,0.019165402664390596,False
