dim,group,estimand,registered,reconciled,ci_lo,ci_hi,bound_lo,bound_hi,bound_width,model_min,model_max,model_range,capped,m2_raw,reliability
ethnicity,Malay,turnout,1367553,0.62741050658994,0.6145238367377185,0.6415233215572149,0.3769930671791148,0.7924979872809317,0.4155049201018169,0.509968986722235,0.6375078051282295,0.12753881840599446,0.6375070399023174,0.6375070399023174,moderate - specification-sensitive
ethnicity,Malay,BN,1367553,0.3593590325895575,0.3383683978519066,0.3837860327297319,0.1597502985259072,0.4121873155921562,0.252437017066249,0.1741594827818445,0.3616559593379697,0.18749647655612517,0.3616535706264374,0.3616535706264374,moderate - specification-sensitive
ethnicity,Malay,PH,1367553,0.0247290748664971,0.0181434978428552,0.0318666440633835,0.0027260369433579,0.2006386589770195,0.19791262203366158,0.0189576674667916,0.0268353658238402,0.007877698357048601,0.022863856924504,0.022863856924504,good
ethnicity,Malay,PN,1367553,0.2177274546406811,0.2057329306952298,0.2327331816612068,0.073990551006067,0.2349152098675517,0.16092465886148472,0.170556926863595,0.2175568205518599,0.046999893688264904,0.2175505353813146,0.2175505353813146,good
ethnicity,Chinese,turnout,955008,0.4453909423900344,0.4286966177619002,0.462204897527195,0.1813293710628602,0.7652700291515883,0.5839406580887281,0.4384637218804311,0.5639103874292476,0.1254466655488165,0.4384637218804311,0.4384637218804311,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Chinese,BN,955008,0.0559301308803097,0.0426307017254258,0.0727711170489987,0.0051088577268462,0.3163020623911003,0.3111932046642541,0.0543093014094317,0.170635366496325,0.11632606508689329,0.0543096151745361,0.0543096151745361,moderate - specification-sensitive
ethnicity,Chinese,PH,955008,0.3170208911637606,0.271301755819559,0.3537021222197178,0.0577366891167403,0.3653613372872269,0.3076246481704866,0.3119962000676064,0.3265151628730059,0.014518962805399493,0.3204353209931506,0.3204353209931506,good
ethnicity,Chinese,PN,955008,0.0105650372464381,0.0063157159805291,0.0150396087447847,9.42400482509047e-05,0.1933763905642675,0.1932821505160166,0.0104282033978915,0.0431438412437251,0.032715637845833596,0.0104287306510364,0.0104287306510364,good
ethnicity,Indian,turnout,185594,0.3401856528783376,0.242932100682196,0.4305739701167397,0.0102212356002888,0.9939222173130596,0.9837009817127709,0.3096709679417675,0.5500493247237772,0.2403783567820097,0.3096765358543674,0.3096765358543674,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,BN,185594,0.1114586675793346,0.0499160294521561,0.1823982270884558,0.0015248337769539,0.8278662025712038,0.8263413687942499,0.1128086999062961,0.3452408685868056,0.23243216868050948,0.1128198967590979,0.1128198967590979,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,PH,185594,0.1207380741055182,0.0404156170533923,0.1906357934801688,8.620968350269944e-05,0.7210308522904836,0.7209446426069809,0.1100755629119548,0.1303863959852622,0.02031083307330739,0.1176005189017669,0.1176005189017669,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Indian,PN,185594,0.0217984614340101,0.0003855742368529,0.0458024986522127,2.155242087567486e-05,0.5851158981432589,0.5850943457223833,0.0222731623149512,0.0679293466616063,0.045656184346655096,0.0223313586891225,0.0223313586891225,"weak - bounds near-vacuous, driven by assumption"
ethnicity,Other,turnout,66680,0.3755631420378559,0.2351686548610693,0.4960342159426121,0.0231103779244151,0.9911817636472704,0.9680713857228553,0.2497628234399569,0.5138670740497062,0.2641042506097493,0.3614272753831826,0.3614272753831826,"weak - bounds near-vacuous, driven by assumption"
