dim,group,estimand,model,estimate,se,ci_lo,ci_hi
ethnicity,Other,PH,M5_within_seat,0.0373564230389226,0.006113463869017422,0.02701101317533476,0.051166500670601696
ethnicity,Malay,PN,M1_lpm,0.07925158455596042,0.01009377534492671,0.059504042153880186,0.0981638895401556
ethnicity,Malay,PN,M2_logit,0.06824355467228745,0.010007489896911461,0.04923221195580531,0.08713825097782027
ethnicity,Malay,PN,M3_probit,0.06825535283818115,,,
ethnicity,Malay,PN,M2ml_logit_noprior,0.06825644919199256,,,
ethnicity,Malay,PN,M4_context,0.049448695046112774,,,
ethnicity,Malay,PN,M5_within_seat,0.06129081723207432,0.009640256605498195,0.0439063820983449,0.07944084806747147
ethnicity,Chinese,PN,M1_lpm,-0.004010120182163504,0.004841563240077588,-0.012090454167940306,0.007002068681282473
ethnicity,Chinese,PN,M2_logit,1.0631423875689387e-05,0.00011119136801169666,4.778632204156782e-06,0.0004301050499350249
ethnicity,Chinese,PN,M3_probit,8.99631112045796e-07,,,
ethnicity,Chinese,PN,M2ml_logit_noprior,1.626641396845641e-10,,,
ethnicity,Chinese,PN,M4_context,0.010364256109237243,,,
ethnicity,Chinese,PN,M5_within_seat,0.002896681361635362,0.0007065774484361798,0.0017720906834291263,0.004451494402500206
ethnicity,Indian,PN,M1_lpm,-0.052361186727522005,0.02414233957753944,-0.10133129356552806,-0.010333139489569234
ethnicity,Indian,PN,M2_logit,2.50369174239498e-05,1.8890473683686476e-05,1.4794732113752215e-05,7.304734849873271e-05
ethnicity,Indian,PN,M3_probit,2.264693027559803e-06,,,
ethnicity,Indian,PN,M2ml_logit_noprior,1.0002584386655623e-10,,,
ethnicity,Indian,PN,M4_context,4.707944560888598e-11,,,
ethnicity,Indian,PN,M5_within_seat,0.023611120891878827,0.009600990173199793,0.007695216441577024,0.0435768062948051
ethnicity,Other,PN,M1_lpm,-0.0354054752541065,0.05873791028780974,-0.17446324889168116,0.05651071015986445
ethnicity,Other,PN,M2_logit,0.00013385608057013744,0.007026838607070868,5.3875668583485174e-05,0.020139697080177748
ethnicity,Other,PN,M3_probit,1.4443163773454868e-05,,,
ethnicity,Other,PN,M2ml_logit_noprior,4.6534670646705084e-09,,,
ethnicity,Other,PN,M4_context,2.5893349424183308e-08,,,
ethnicity,Other,PN,M5_within_seat,0.036488698167919324,0.013029197218220833,0.013917312244456548,0.06441493505954736
age,18-29,turnout,M1_lpm,0.6599673343942943,0.008320975778686946,0.6442715614706142,0.6761649186400849
age,18-29,turnout,M2_logit,0.659927547947708,0.008303365103533881,0.6442547148574688,0.676076112361477
age,18-29,turnout,M3_probit,0.6599276448563014,,,
age,18-29,turnout,M2ml_logit_noprior,0.659927699795382,,,
age,18-29,turnout,M4_context,0.7500591363812685,,,
age,18-29,turnout,M5_within_seat,0.6607750761308652,0.008136926548938413,0.6453653100330159,0.6766753422897455
age,30-39,turnout,M1_lpm,0.6558464332500547,0.006295677863762814,0.6439439686547267,0.6674613530405773
age,30-39,turnout,M2_logit,0.6558566031372866,0.006302087889218256,0.6439263538543133,0.6675222764397115
age,30-39,turnout,M3_probit,0.6558566992780478,,,
age,30-39,turnout,M2ml_logit_noprior,0.6558567637494975,,,
age,30-39,turnout,M4_context,0.5925401641154006,,,
age,30-39,turnout,M5_within_seat,0.6552590479052179,0.006319122312863651,0.6435971290622499,0.6673481945861356
age,40-49,turnout,M1_lpm,0.6829623033476357,0.006458572099085187,0.6709406901409526,0.6952697803965623
age,40-49,turnout,M2_logit,0.6829225631135445,0.006459509490946536,0.6708619292217314,0.6952525588986336
age,40-49,turnout,M3_probit,0.6829227089554695,,,
age,40-49,turnout,M2ml_logit_noprior,0.6829227940922304,,,
age,40-49,turnout,M4_context,0.6803807603279773,,,
age,40-49,turnout,M5_within_seat,0.6825825916821386,0.006537681089274699,0.6698154037094655,0.6948481296421671
age,50-59,turnout,M1_lpm,0.7455967200509583,0.007016967399710073,0.7318960806365913,0.7586275109575011
age,50-59,turnout,M2_logit,0.7461170090862702,0.00692003530974004,0.7326334047510831,0.758964515634382
age,50-59,turnout,M3_probit,0.7461172240549714,,,
age,50-59,turnout,M2ml_logit_noprior,0.7461173518437546,,,
age,50-59,turnout,M4_context,0.7362590125022971,,,
age,50-59,turnout,M5_within_seat,0.7440407301558025,0.006967188518737688,0.7300096969517381,0.7570905823025227
age,60-69,turnout,M1_lpm,0.7962633666775017,0.004880375806850958,0.7875254349536316,0.8052431441053783
age,60-69,turnout,M2_logit,0.7928960378834815,0.004901616316485901,0.7842180740869327,0.8025430050982776
age,60-69,turnout,M3_probit,0.7928968510270313,,,
age,60-69,turnout,M2ml_logit_noprior,0.7928972822890039,,,
age,60-69,turnout,M4_context,0.7975473544218094,,,
age,60-69,turnout,M5_within_seat,0.7952295643046992,0.005531024208656353,0.7851610388170075,0.8064357798394844
age,70+,turnout,M1_lpm,0.5943637503591654,0.01026039860616588,0.575259939320467,0.6150705339565863
age,70+,turnout,M2_logit,0.5972935491571275,0.009956849612202478,0.5788291641789204,0.6168912335532106
age,70+,turnout,M3_probit,0.597293410343407,,,
age,70+,turnout,M2ml_logit_noprior,0.5972933559288264,,,
age,70+,turnout,M4_context,0.5841499969680715,,,
age,70+,turnout,M5_within_seat,0.5973553998888913,0.009280918563334531,0.5795219930233775,0.6148231536552846
age,18-29,BN,M1_lpm,0.42851570998275945,0.018989604550597953,0.3922301268602688,0.4627867271004268
age,18-29,BN,M2_logit,0.428654674266554,0.019007737168418738,0.39236660125919764,0.4628981613729537
age,18-29,BN,M3_probit,0.42865464465392744,,,
age,18-29,BN,M2ml_logit_noprior,0.4286546211730633,,,
age,18-29,BN,M4_context,0.532523889863128,,,
age,18-29,BN,M5_within_seat,0.4301922949135416,0.018443703880837173,0.3951275263217138,0.4635783323972434
age,30-39,BN,M1_lpm,0.4201630485599908,0.014242459237815773,0.3960879982535542,0.44824979289408823
age,30-39,BN,M2_logit,0.420229746654924,0.014230930481513745,0.3961031623445559,0.44833843289018854
age,30-39,BN,M3_probit,0.4202296567150562,,,
age,30-39,BN,M2ml_logit_noprior,0.4202296642064913,,,
age,30-39,BN,M4_context,0.3187758513641865,,,
age,30-39,BN,M5_within_seat,0.41945977529744827,0.014484794326134696,0.3952280782402768,0.4477483198939031
age,40-49,BN,M1_lpm,0.41038477221172887,0.016222854552313468,0.3819699942364574,0.4417322288390455
age,40-49,BN,M2_logit,0.41072745572842834,0.01618006477173937,0.38241576976937036,0.4419580769973991
age,40-49,BN,M3_probit,0.41072745879277534,,,
age,40-49,BN,M2ml_logit_noprior,0.41072738744517495,,,
age,40-49,BN,M4_context,0.4006277346684289,,,
age,40-49,BN,M5_within_seat,0.40603081738791286,0.01570692232027647,0.3772601540208454,0.43660981060865217
age,50-59,BN,M1_lpm,0.38282384920132984,0.016656917825675428,0.35316950622502874,0.41569433767031394
age,50-59,BN,M2_logit,0.3823404456082157,0.01680943262157534,0.35271496820260234,0.41550752117838385
age,50-59,BN,M3_probit,0.3823402848106835,,,
age,50-59,BN,M2ml_logit_noprior,0.38234016292076295,,,
age,50-59,BN,M4_context,0.370555599678618,,,
age,50-59,BN,M5_within_seat,0.38408992783374934,0.0167318811777853,0.355211215446043,0.41710868133880646
age,60-69,BN,M1_lpm,0.4089078252001475,0.0175110809193524,0.3773259340641227,0.44206298629913127
age,60-69,BN,M2_logit,0.4118281976452793,0.017387658512040445,0.38008951193217677,0.44480874384519165
age,60-69,BN,M3_probit,0.41182830616004973,,,
age,60-69,BN,M2ml_logit_noprior,0.4118283676924768,,,
age,60-69,BN,M4_context,0.42734117182319353,,,
age,60-69,BN,M5_within_seat,0.41694588981341213,0.017567153037053196,0.38552471070701144,0.45000462596252616
age,70+,BN,M1_lpm,0.302363116150555,0.0182952522139714,0.27095102264227783,0.34312061766427954
age,70+,BN,M2_logit,0.2974394069063291,0.01935897369062682,0.2633814905176961,0.34061233305110866
age,70+,BN,M3_probit,0.297438683600265,,,
age,70+,BN,M2ml_logit_noprior,0.2974383803819735,,,
age,70+,BN,M4_context,0.26623239730303516,,,
age,70+,BN,M5_within_seat,0.2951589011937428,0.016751240829993012,0.26828364147235845,0.3281494169641513
