dim,group,estimand,registered,lo,hi,width
ethnicity,Malay,turnout,1461042,0.5273085920870173,0.8987250195408483,0.37141642745383097
ethnicity,Chinese,turnout,981403,0.3656204433856428,0.9115592677014438,0.545938824315801
ethnicity,Indian,turnout,193096,0.01656171023739487,0.997622944027841,0.9810612337904462
ethnicity,Other,turnout,67634,0.02498743235650708,0.9931099742732945,0.9681225419167874
ethnicity,Malay,BN,1461042,0.3428272424748912,0.7195713744026524,0.3767441319277612
ethnicity,Chinese,BN,981403,0.010269991023055768,0.49804005082519615,0.4877700598021404
ethnicity,Indian,BN,193096,0.0026204582176741105,0.9646807805443924,0.9620603223267183
ethnicity,Other,BN,67634,0.012449359789455008,0.9853771771594169,0.9729278173699618
ethnicity,Malay,PH,1461042,0.005304433411222949,0.2867740968432119,0.281469663431989
ethnicity,Chinese,PH,981403,0.12639252172654863,0.5939282843031863,0.4675357625766377
ethnicity,Indian,PH,193096,0.00020197207606579111,0.9109458507685296,0.9107438786924639
ethnicity,Other,PH,67634,0.0012567643492917763,0.8304255256232073,0.8291687612739155
ethnicity,Malay,PN,1461042,0.02174543921393088,0.06799325412958697,0.04624781491565609
ethnicity,Chinese,PN,981403,5.094747010147717e-06,0.056451834771240765,0.05644674002423062
ethnicity,Indian,PN,193096,0.0,0.14769337531590504,0.14769337531590504
ethnicity,Other,PN,67634,0.0,0.3453144867965816,0.3453144867965816
age,18-29,turnout,663898,0.5441784731991962,0.7709527668406894,0.22677429364149315
age,30-39,turnout,582037,0.42882497160833416,0.854431934739544,0.4256069631312099
age,40-49,turnout,494571,0.4454385720149382,0.8971047635223254,0.4516661915073872
age,50-59,turnout,398733,0.4805471330439166,0.9402682998397424,0.45972116679582575
age,60-69,turnout,313976,0.4656629806099829,0.9575891150915994,0.4919261344816165
age,70+,turnout,249960,0.4036805888942231,0.8722315570491279,0.4685509681549048
age,18-29,BN,663898,0.3148254701776478,0.5435172270439134,0.22869175686626558
age,30-39,BN,582037,0.20875476988576327,0.6321505333853346,0.4233957634995713
age,40-49,BN,494571,0.1769937986659145,0.6396351585515527,0.46264135988563826
age,50-59,BN,398733,0.14353464599117705,0.645329079860458,0.5017944338692809
age,60-69,BN,313976,0.11627321833515937,0.6618563202282977,0.5455831018931383
age,70+,BN,249960,0.09370299247879661,0.5683269323091694,0.4746239398303728
age,18-29,PH,663898,0.11796239783822214,0.2539426237162938,0.13598022587807163
age,30-39,PH,582037,0.0724369756561868,0.3319565594627146,0.2595195838065278
age,40-49,PH,494571,0.07190878559397942,0.38963869697171893,0.31772991137773954
age,50-59,PH,398733,0.10311662189986782,0.4905914484128477,0.3874748265129799
age,60-69,PH,313976,0.1102377251764466,0.5322094682396107,0.4219717430631641
age,70+,PH,249960,0.09102656425028005,0.44484317490798525,0.3538166106577052
age,18-29,PN,663898,0.016055177150706885,0.059829973881529996,0.043774796730823115
age,30-39,PN,582037,0.007497805122354764,0.0893774794385924,0.08187967431623763
age,40-49,PN,494571,0.007311387040485592,0.09760175990909294,0.09029037286860735
age,50-59,PN,398733,0.004343758856176941,0.10264011255652279,0.09829635370034585
age,60-69,PN,313976,0.0016912120671643692,0.08240757255331618,0.08071636048615181
age,70+,PN,249960,8.001280204832773e-05,0.06615058409345495,0.06607057129140663
