cluster,dim,group,estimand,registered,lo,hi
N.01 Buloh Kasap,ethnicity,Malay,turnout,16406,0.5782640497379008,0.8658417652078508
N.01 Buloh Kasap,ethnicity,Chinese,turnout,9095,0.30423309510720176,0.891808686091259
N.01 Buloh Kasap,ethnicity,Indian,turnout,2997,0.04004004004004004,0.992992992992993
N.01 Buloh Kasap,ethnicity,Other,turnout,460,0.0,1.0
N.01 Buloh Kasap,ethnicity,Malay,BN,16406,0.5138973546263562,0.793246373278069
N.01 Buloh Kasap,ethnicity,Chinese,BN,9095,0.014843320505772403,0.4846619021440352
N.01 Buloh Kasap,ethnicity,Indian,BN,2997,0.004337671004337671,0.8892225558892226
N.01 Buloh Kasap,ethnicity,Other,BN,460,0.0,1.0
N.01 Buloh Kasap,ethnicity,Malay,PH,16406,0.012678288431061807,0.22168718761428746
N.01 Buloh Kasap,ethnicity,Chinese,PH,9095,0.10500274876305662,0.5500824628916987
N.01 Buloh Kasap,ethnicity,Indian,PH,2997,0.0,0.7664330997664331
N.01 Buloh Kasap,ethnicity,Other,PH,460,0.0,0.7543478260869565
N.01 Buloh Kasap,ethnicity,Malay,PN,16406,0.0,0.0
N.01 Buloh Kasap,ethnicity,Chinese,PN,9095,0.0,0.0
N.01 Buloh Kasap,ethnicity,Indian,PN,2997,0.0,0.0
N.01 Buloh Kasap,ethnicity,Other,PN,460,0.0,0.0
N.01 Buloh Kasap,age,18-29,turnout,6153,0.3877783195189339,0.7984722899398667
N.01 Buloh Kasap,age,30-39,turnout,6946,0.3902965735675209,0.8694212496400806
N.01 Buloh Kasap,age,40-49,turnout,5605,0.32667261373773415,0.8817127564674397
N.01 Buloh Kasap,age,50-59,turnout,3721,0.2999193765116904,0.9422198333781242
N.01 Buloh Kasap,age,60-69,turnout,3701,0.45203998919211025,0.9697379086733315
N.01 Buloh Kasap,age,70+,turnout,2832,0.3651129943502825,0.9385593220338984
N.01 Buloh Kasap,age,18-29,BN,6153,0.23647001462701123,0.6465138956606533
N.01 Buloh Kasap,age,30-39,BN,6946,0.23437949899222574,0.7061618197523755
N.01 Buloh Kasap,age,40-49,BN,5605,0.18251561106155217,0.7086529884032114
N.01 Buloh Kasap,age,50-59,BN,3721,0.10104810534802472,0.7516796560064499
N.01 Buloh Kasap,age,60-69,BN,3701,0.19508241015941638,0.7822210213455822
N.01 Buloh Kasap,age,70+,BN,2832,0.09781073446327683,0.713276836158192
N.01 Buloh Kasap,age,18-29,PH,6153,0.08451162034779783,0.2668616934828539
N.01 Buloh Kasap,age,30-39,PH,6946,0.042038583357327956,0.282032824647279
N.01 Buloh Kasap,age,40-49,PH,5605,0.05298840321141838,0.38108831400535237
N.01 Buloh Kasap,age,50-59,PH,3721,0.05455522708949207,0.49099704380542863
N.01 Buloh Kasap,age,60-69,PH,3701,0.08430154012429074,0.4412320994325858
N.01 Buloh Kasap,age,70+,PH,2832,0.0769774011299435,0.4604519774011299
N.01 Buloh Kasap,age,18-29,PN,6153,0.0,0.0
N.01 Buloh Kasap,age,30-39,PN,6946,0.0,0.0
N.01 Buloh Kasap,age,40-49,PN,5605,0.0,0.0
N.01 Buloh Kasap,age,50-59,PN,3721,0.0,0.0
N.01 Buloh Kasap,age,60-69,PN,3701,0.0,0.0
N.01 Buloh Kasap,age,70+,PN,2832,0.0,0.0
N.02 Jementah,ethnicity,Malay,turnout,16132,0.4485494668980908,0.8803000247954377
N.02 Jementah,ethnicity,Chinese,turnout,20214,0.4483526268922529,0.8149302463639062
N.02 Jementah,ethnicity,Indian,turnout,3152,0.057741116751269035,0.9879441624365483
N.02 Jementah,ethnicity,Other,turnout,309,0.0,1.0
N.02 Jementah,ethnicity,Malay,BN,16132,0.27919662782048105,0.6482767170840565
N.02 Jementah,ethnicity,Chinese,BN,20214,0.030671811615711884,0.32551696843771644
N.02 Jementah,ethnicity,Indian,BN,3152,0.025063451776649745,0.9282994923857868
N.02 Jementah,ethnicity,Other,BN,309,0.0,1.0
