dim,group,estimand,registered,bound_lo,bound_hi,m2_raw,capped,reconciled,ci_lo,ci_hi,se
ethnicity,Malay,turnout,1461042,0.5273085920870173,0.8987250195408483,0.7600934035006133,0.7600934035006133,0.7512981922007089,0.7406955201694773,0.7616001850591259,0.0053313354009807854
ethnicity,Chinese,turnout,981403,0.3656204433856428,0.9115592677014438,0.617416533372175,0.617416533372175,0.6228527564771064,0.6088917290868718,0.63769258392226,0.007968877518984733
ethnicity,Indian,turnout,193096,0.0165617102373948,0.997622944027841,0.5039527500352422,0.5039527500352422,0.5384745091763625,0.48474573066632876,0.5905242172967257,0.027217516136843145
ethnicity,Other,turnout,67634,0.024987432356507,0.9931099742732944,0.5916408366569242,0.5916408366569242,0.6002151149107129,0.5010587175705999,0.6482388505779304,0.03782511249247545
ethnicity,Malay,BN,1461042,0.3428272424748912,0.7195713744026524,0.6351411398941078,0.6351411398941078,0.6371239467920017,0.6172409520069037,0.6543115452701495,0.010709922318750247
ethnicity,Chinese,BN,981403,0.0102699910230557,0.4980400508251961,0.0769863972600789,0.0769863972600789,0.0772560919741506,0.06284280787147921,0.09843999479383474,0.00894258703520726
ethnicity,Indian,BN,193096,0.0026204582176741,0.9646807805443924,0.2844003403851339,0.2844003403851339,0.26138914073885283,0.19398542232788848,0.32409235351433924,0.03205735422054842
ethnicity,Other,BN,67634,0.012449359789455,0.9853771771594168,0.4831542987734477,0.4831542987734477,0.4651299136425771,0.3668513972367287,0.5366011296877786,0.04399337819574979
ethnicity,Malay,PH,1461042,0.0053044334112229,0.2867740968432119,0.0327999844031406,0.0327999844031406,0.03551349017068212,0.030951642130934234,0.040068799500738876,0.002391108674727244
ethnicity,Chinese,PH,981403,0.1263925217265486,0.5939282843031863,0.5278489326103806,0.5278489326103806,0.52533630305786,0.5132809234001556,0.5373046429395988,0.006871010823903854
ethnicity,Indian,PH,193096,0.0002019720760657,0.9109458507685296,0.1790720891673762,0.1790720891673762,0.17126358516657136,0.1305050766480318,0.20768587013926496,0.020526532677728963
ethnicity,Other,PH,67634,0.0012567643492917,0.8304255256232073,0.0571257990326674,0.0571257990326674,0.05753559190392415,0.0226363857852938,0.08618874134107218,0.017010959353160854
ethnicity,Malay,PN,1461042,0.0217454392139308,0.0679932541295869,0.0682435546722874,0.0679932541295869,0.06797641823559043,0.05356935618430181,0.08616477786477783,0.009071960950338574
ethnicity,Chinese,PN,981403,5.094747010147717e-06,0.0564518347712407,1.0631423875689387e-05,1.0631423875689387e-05,2.1169019012376292e-05,5.502533862162447e-06,0.0003245027139626713,7.41079315731507e-05
ethnicity,Indian,PN,193096,0.0,0.147693375315905,2.50369174239498e-05,2.50369174239498e-05,1.8244620077372668e-05,7.538606283153282e-06,6.0415635278474144e-05,1.4637911022775382e-05
ethnicity,Other,PN,67634,0.0,0.3453144867965816,0.0001338560805701,0.0001338560805701,0.00012271411290164352,3.544964050004477e-05,0.035757276440494375,0.008793876264610673
age,18-29,turnout,663898,0.5441784731991962,0.7709527668406894,0.659927547947708,0.659927547947708,0.6599982590690874,0.644153384921348,0.676314552487277,0.00748297621324165
age,30-39,turnout,582037,0.4288249716083341,0.854431934739544,0.6558566031372866,0.6558566031372866,0.6561017018540101,0.6431613077490043,0.6678261825809365,0.005934622174763718
age,40-49,turnout,494571,0.4454385720149382,0.8971047635223254,0.6829225631135445,0.6829225631135445,0.6834428597879277,0.6716856978902453,0.6950023502641035,0.006039822176856901
age,50-59,turnout,398733,0.4805471330439166,0.9402682998397424,0.7461170090862702,0.7461170090862702,0.7457479013599004,0.7340599110608228,0.7577430331721994,0.006508548249741585
age,60-69,turnout,313976,0.4656629806099829,0.9575891150915994,0.7928960378834815,0.7928960378834815,0.7925962187694512,0.7841966384373348,0.8030135254832941,0.004677875996587311
age,70+,turnout,249960,0.4036805888942231,0.8722315570491279,0.5972935491571275,0.5972935491571275,0.5971015466997839,0.5766644547546808,0.6168400927418939,0.010377063802180177
age,18-29,BN,663898,0.3148254701776478,0.5435172270439134,0.428654674266554,0.428654674266554,0.42791734318120606,0.39784116110499695,0.45843894947252983,0.01699146441477965
age,30-39,BN,582037,0.2087547698857632,0.6321505333853346,0.420229746654924,0.420229746654924,0.41939990358901397,0.3957576664783445,0.4446134744049827,0.013331727856802603
age,40-49,BN,494571,0.1769937986659145,0.6396351585515527,0.4107274557284283,0.4107274557284283,0.4083956363127197,0.3808761591023104,0.43715431162347884,0.014507909193702796
age,50-59,BN,398733,0.143534645991177,0.645329079860458,0.3823404456082157,0.3823404456082157,0.3854589664192895,0.35883897427425293,0.4166683787915174,0.015089816537408731
age,60-69,BN,313976,0.1162732183351593,0.6618563202282977,0.4118281976452793,0.4118281976452793,0.4101966933174402,0.38218686251744044,0.44112738930145134,0.016164746243387908
age,70+,BN,249960,0.0937029924787966,0.5683269323091694,0.2974394069063291,0.2974394069063291,0.3038426337267044,0.27052213927994406,0.33811010127509544,0.018070771976290735
age,18-29,PH,663898,0.1179623978382221,0.2539426237162938,0.1773864948705272,0.1773864948705272,0.17775386249141178,0.15540127688180277,0.19721347315306467,0.011431419360884255
age,30-39,PH,582037,0.0724369756561868,0.3319565594627146,0.181542256828086,0.181542256828086,0.18198012237094996,0.16123339479791357,0.20123974652176196,0.010208730234692964
age,40-49,PH,494571,0.0719087855939794,0.3896386969717189,0.2057856421710495,0.2057856421710495,0.20700593704955553,0.1842958183372481,0.22829746763845676,0.012474105546488137
age,50-59,PH,398733,0.1031166218998678,0.4905914484128477,0.2912475781009762,0.2912475781009762,0.2896070390971092,0.2629976978760214,0.31544521604622094,0.013917706543583066
age,60-69,PH,313976,0.1102377251764466,0.5322094682396107,0.3226549400969766,0.3226549400969766,0.32037973169209055,0.28928492290991104,0.34893899010670903,0.016148681139791378
age,70+,PH,249960,0.09102656425028,0.4448431749079852,0.2480756436485211,0.2480756436485211,0.24819506426890875,0.22136709356487133,0.2772487294027324,0.014472739633533079
age,18-29,PN,663898,0.0160551771507068,0.0598299738815299,0.0345848944337331,0.0345848944337331,0.03453701897266732,0.025149325736222767,0.04591637661615279,0.005757724699899195
age,30-39,PN,582037,0.0074978051223547,0.0893774794385924,0.0374189260142591,0.0374189260142591,0.03734651117980113,0.02904830929612223,0.049941823678142,0.006053092249036166
age,40-49,PN,494571,0.0073113870404855,0.0976017599090929,0.0469430691733792,0.0469430691733792,0.0463018355642684,0.03616113808652653,0.060413642701277484,0.006721021721933942
age,50-59,PN,398733,0.0043437588561769,0.1026401125565227,0.0422497581179466,0.0422497581179466,0.04266045315066176,0.030556079558787103,0.05952643573634699,0.007788208419115041
age,60-69,PN,313976,0.0016912120671643,0.0824075725533161,0.0328238303603456,0.0328238303603456,0.032831510470660734,0.02444447981236707,0.04608597219335772,0.006056988173283411
age,70+,PN,249960,8.001280204832773e-05,0.0661505840934549,0.016925875377017,0.016925875377017,0.017862493743044595,0.012275580431168599,0.024555248698622387,0.003285174542333855
