dim,group,estimand,biv_valid_at1,biv_valid_at0,r2_valid,biv_reg_at1,biv_reg_at0,r2_reg,M1_lpm,M2_logit,lo,hi,reconciled,biv_minus_M1,biv_impossible
ethnicity,Malay,turnout,1.0101119198234352,1.0110883368983026,0.0004363482369426075,0.7560488450934298,0.6029152138031965,0.2966986438125756,0.7586545832058434,0.7600934035006133,0.5273085920870173,0.8987250195408483,0.7512981922007089,-0.0026057381124136025,False
ethnicity,Malay,BN,0.8800525816817385,0.22619598721610154,0.8074224482760965,0.6509882948938653,0.11069246179891974,0.8261205648072711,0.6354921058300321,0.6351411398941078,0.3428272424748912,0.7195713744026524,0.6371239467920017,0.01549618906383321,False
ethnicity,Malay,PH,0.006910711384034096,0.7430938557868525,0.9165902274767839,0.013846094816352017,0.4703081505260125,0.849353931109911,0.0326100354705316,0.0327999844031406,0.0053044334112229,0.2867740968432119,0.0355134901706821,-0.018763940654179585,False
ethnicity,Malay,PN,0.1054035032104739,-0.011518074589200806,0.22580456011465455,0.07751368306451996,-0.011191834152987166,0.25808150095546234,0.0792515845559604,0.0682435546722874,0.0217454392139308,0.0679932541295869,0.0679764182355904,-0.001737901491440444,True
ethnicity,Chinese,turnout,1.0107698981642816,1.0104184841120258,4.908246172596886e-05,0.5925851228203302,0.7387477451769229,0.23745330909705864,0.6185021695417487,0.617416533372175,0.3656204433856428,0.9115592677014438,0.6228527564771064,-0.02591704672141859,False
ethnicity,Chinese,BN,0.12259630129328891,0.8418413938761002,0.8484284284528942,0.03630036339291376,0.6115738404766166,0.822735192358613,0.0700602005552916,0.0769863972600789,0.0102699910230557,0.4980400508251961,0.0772560919741506,-0.033759837162377834,False
ethnicity,Chinese,PH,0.8567059202372932,0.05153177452334617,0.9521573398666275,0.5420691839613183,0.04206519600319353,0.8952770441139652,0.5272819944450753,0.5278489326103806,0.1263925217265486,0.5939282843031863,0.52533630305786,0.014787189516243027,False
ethnicity,Chinese,PN,-0.020426181010994873,0.09349911451948754,0.18616982704903695,-0.017609407469395266,0.06773889070021288,0.20988263947832198,-0.0040101201821635,1.0631423875689387e-05,5.094747010147717e-06,0.0564518347712407,2.1169019012376292e-05,-0.013599287287231766,True
ethnicity,Indian,turnout,1.0187359387676724,1.0099419983283382,0.002454245486011919,0.37610140492191807,0.7094981166390374,0.10349495640256967,0.5050953225103182,0.5039527500352422,0.0165617102373948,0.997622944027841,0.5384745091763625,-0.12899391758840012,False
ethnicity,Indian,BN,-0.03283681054033771,0.6391991229600884,0.05914380486406279,-0.18685354523063935,0.44807222090215326,0.08395532810612016,0.3024950333713326,0.2844003403851339,0.0026204582176741,0.9646807805443924,0.2613891407388528,-0.48934857860197195,True
ethnicity,Indian,PH,1.0741983588919528,0.27521187932526076,0.0748636177352946,0.6019910903282004,0.19448508529890327,0.04981607726504167,0.179840661344861,0.1790720891673762,0.0002019720760657,0.9109458507685296,0.1712635851665713,0.42215042898333943,False
ethnicity,Indian,PN,-0.17824820572790595,0.0711170601378422,0.07122029379998707,-0.1302690609347864,0.04960140082852513,0.07809036862443786,-0.052361186727522,2.50369174239498e-05,0.0,0.147693375315905,1.8244620077372668e-05,-0.07790787420726442,True
ethnicity,Other,turnout,1.0134321084068223,1.0104656920947097,8.345159521838674e-05,0.6766285522437696,0.6859149239179148,2.3269358027988574e-05,0.5997282336329981,0.5916408366569242,0.024987432356507,0.9931099742732944,0.6002151149107129,0.07690031861077151,False
